Title,Year,Type,Price,Engine type,Gearbox_type,Milage,City,Engine,Power
Ford Focus,2017,Universalas,5900,Benzinas,Mechaninė,132232,Prienai,1000,74
Ford Focus,2017,Hečbekas,6150,Benzinas,Mechaninė,112000,Utena,1000,74
Ford Focus,2015,Hečbekas,6300,Dyzelinas,Mechaninė,226342,Tauragė,1600,85
Ford Focus,2008,Kabrioletas,1650,Benzinas,Mechaninė,176680,Marijampolė,1600,74
Ford Focus,2005,Universalas,1950,Benzinas,Automatinė,231300,Vilnius,1600,74
Ford Focus,2008,Universalas,2150,Benzinas,Mechaninė,225000,Šiauliai,1600,85
Ford Focus,2009,Universalas,2330,Dyzelinas,Mechaninė,275000,Kretinga,2000,100
Ford Focus,2008,Universalas,2400,Dyzelinas,Mechaninė,186000,Marijampolė,1600,66
Ford Focus,2008,Universalas,2690,Benzinas,Mechaninė,232139,Marijampolė,1600,85
Ford Focus,2013,Universalas,3000,Dyzelinas,Mechaninė,276553,Vilnius,1600,85
Ford Focus,2008,Hečbekas,3000,Dyzelinas,Automatinė,239000,Klaipėda,2000,81
Ford Focus,2009,Universalas,3300,Dyzelinas,Mechaninė,250000,Kaunas,1600,80
Ford Focus,2013,Universalas,3500,Dyzelinas,Mechaninė,277668,Kaunas,1600,77
Ford Focus,2013,Universalas,3650,Dyzelinas,Mechaninė,307000,Vilnius,1600,77
Ford Focus,2013,Universalas,3950,Benzinas,Mechaninė,147556,Marijampolė,1000,92
Ford Focus,2013,Universalas,4250,Dyzelinas,Mechaninė,260000,Kaunas,1600,85
Ford Focus,2014,Universalas,4700,Benzinas,Mechaninė,182145,Marijampolė,1000,92
Ford Focus,2011,Universalas,4850,Benzinas,Mechaninė,140000,Utena,1600,110
Ford Focus,2014,Universalas,4899,Dyzelinas,Mechaninė,182216,Kretinga,1600,85
Ford Focus,2013,Hečbekas,4900,Benzinas,Mechaninė,89000,Vilnius,1000,74
Ford Focus,2012,Universalas,4950,Dyzelinas,Mechaninė,189244,Šiauliai,1600,70
Ford Focus,2014,Hečbekas,4950,Benzinas,Mechaninė,144000,Tauragė,1000,92
Ford Focus,2013,Universalas,4999,Benzinas,Mechaninė,188411,Kėdainiai,1000,74
Ford Focus,2013,Hečbekas,5350,Benzinas,Automatinė,145000,Vilnius,1600,92
Ford Focus,2011,Universalas,5600,Dyzelinas,Mechaninė,271694,Kaunas,1600,85
Ford Focus,2014,Universalas,5650,Dyzelinas,Automatinė,233446,Kėdainiai,2000,120
Ford Focus,2017,Sedanas,5950,Benzinas,Mechaninė,221100,"Rīga, Latvija",1000,92
Ford Focus,2016,Hečbekas,6500,Dyzelinas,Mechaninė,84350,Vilnius,1500,88
Ford Focus,2016,Universalas,6950,Dyzelinas,Mechaninė,189000,Klaipėda,1500,88
Ford Focus,2016,Universalas,6999,Dyzelinas,Mechaninė,200000,Vilnius,2000,110
Ford Focus,2016,Sedanas,6999,Benzinas,Automatinė,131000,Kretinga,2000,118
Ford Focus,2019,Universalas,7865,Benzinas,Mechaninė,211000,Kaunas,1000,74
Ford Focus,2018,Universalas,8250,Dyzelinas,Automatinė,109257,Vilnius,1500,88
Ford Focus,2019,Universalas,8650,Dyzelinas,Automatinė,148000,Kaunas,1500,88
Ford Focus,2020,Visureigis / Krosoveris,8950,Dyzelinas,Mechaninė,178000,Pakruojis,1500,88
Ford Focus,2020,Universalas,9100,Dyzelinas,Automatinė,157000,Klaipėda,1500,88
Ford Focus,2019,Universalas,9300,Benzinas,Mechaninė,153854,Marijampolė,1000,92
Ford Focus,2020,Universalas,9450,Dyzelinas,Automatinė,141000,Kaunas,1500,88
Ford Focus,2018,Universalas,9540,Dyzelinas,Mechaninė,172000,Vilnius,1500,88
Ford Focus,2019,Hečbekas,9559,Benzinas,Mechaninė,182000,Kaunas,1000,92
Ford Focus,2019,Universalas,9600,Dyzelinas,Mechaninė,190371,Marijampolė,1500,88
Ford Focus,2017,Hečbekas,9700,Benzinas,Automatinė,101738,Vilnius,2000,118
Ford Focus,2020,Universalas,9850,Dyzelinas,Mechaninė,129000,Pakruojis,1500,88
Ford Focus,2019,Universalas,9922,Dyzelinas,Mechaninė,206000,Kaunas,1500,88
Ford Focus,2019,Universalas,10400,Dyzelinas,Mechaninė,165596,Marijampolė,1500,88
Ford Focus,2021,Visureigis / Krosoveris,10450,Benzinas / elektra,Mechaninė,218000,Marijampolė,1000,92
Ford Focus,2021,Universalas,10527,Dyzelinas,Mechaninė,237000,Kaunas,1500,88
Ford Focus,2019,Universalas,10950,Dyzelinas,Automatinė,147000,Marijampolė,1500,88
Ford Focus,2020,Universalas,11132,Dyzelinas,Automatinė,179084,Marijampolė,1500,88
Ford Focus,2020,Universalas,11132,Dyzelinas,Mechaninė,197096,Marijampolė,1500,88
Ford Focus,2019,Hečbekas,11737,Dyzelinas,Mechaninė,191000,Kaunas,1500,88
Ford Focus,2019,Universalas,11900,Dyzelinas,Automatinė,212362,Šiauliai,2000,110
Ford Focus,2019,Hečbekas,12552,Benzinas,Automatinė,123900,Klaipėda,1000,92
Ford Focus,2020,Hečbekas,12555,Benzinas,Automatinė,111300,Vilnius,1000,92
Ford Focus,2021,Hečbekas,12947,Benzinas / elektra,Mechaninė,191000,Kaunas,1000,92
Ford Focus,2021,Visureigis / Krosoveris,13304,Dyzelinas,Mechaninė,133000,Marijampolė,1500,88
Ford Focus,2020,Universalas,13673,Dyzelinas,Automatinė,133000,Marijampolė,1500,88
Ford Focus,2020,Universalas,14399,Dyzelinas,Automatinė,187700,Marijampolė,2000,110
Ford Focus,2019,Hečbekas,15771,Benzinas,Automatinė,81000,Kaunas,1000,92
Ford Focus,2022,Hečbekas,19478,Benzinas / elektra,Automatinė,23000,Kaunas,1000,92
Ford Focus,2023,Hečbekas,21993,Benzinas / elektra,Automatinė,14000,Klaipėda,1000,92
Ford Focus,2023,Hečbekas,23973,Benzinas,Automatinė,11730,Kaunas,1000,92
Ford Focus,2002,Hečbekas,400,Benzinas / dujos,Mechaninė,242638,Alytus,1600,74
Ford Focus,2005,Universalas,750,Dyzelinas,Mechaninė,413210,Klaipėda,1600,80
Ford Focus,2001,Sedanas,800,Dyzelinas,Mechaninė,215207,Kėdainiai,1800,66
Ford Focus,2009,Universalas,950,Dyzelinas,Mechaninė,420000,Kaunas,1600,85
Ford Focus,2006,Universalas,1300,Dyzelinas,Mechaninė,269100,Mažeikiai,1600,66
Ford Focus,2005,Hečbekas,1350,Dyzelinas,Mechaninė,238000,Vilnius,1800,85
Ford Focus,2008,Hečbekas,1399,Dyzelinas,Mechaninė,390000,Šiauliai,1600,66
Ford Focus,2013,Hečbekas,1450,Dyzelinas,Mechaninė,333000,Vilnius,1600,70
Ford Focus,2006,Universalas,1450,Dyzelinas,Mechaninė,329000,Kaunas,1800,85
Ford Focus,2006,Universalas,1450,Dyzelinas,Mechaninė,295000,Vilnius,1600,80
Ford Focus,2008,Hečbekas,1550,Dyzelinas,Automatinė,280000,Vilnius,2000,100
Ford Focus,2008,Hečbekas,1550,Dyzelinas,Mechaninė,169000,Jonava,1600,66
Ford Focus,2007,Universalas,1600,Dyzelinas,Mechaninė,290000,Kaunas,1800,85
Ford Focus,2005,Hečbekas,1600,Benzinas,Mechaninė,195150,Kaunas,1600,85
Ford Focus,2007,Universalas,1750,Dyzelinas,Mechaninė,225000,Vilnius,1800,85
Ford Focus,2006,Sedanas,1750,Dyzelinas,Automatinė,126800,Mažeikiai,1600,80
Ford Focus,2008,Universalas,1850,Dyzelinas,Mechaninė,276151,Kaunas,1600,80
Ford Focus,2009,Universalas,1850,Dyzelinas,Mechaninė,277244,Klaipėda,1600,80
Ford Focus,2007,Hečbekas,1900,Benzinas,Mechaninė,233322,Prienai,1600,74
Ford Focus,2010,Hečbekas,1950,Dyzelinas,Mechaninė,200000,Kaunas,2000,100
Ford Focus,2009,Hečbekas,2000,Dyzelinas,Mechaninė,258000,Vilnius,1800,85
Ford Focus,2009,Universalas,2000,Benzinas,Mechaninė,238000,Kalvarija,1600,74
Ford Focus,2008,Universalas,2200,Benzinas,Mechaninė,212000,Šiauliai,1600,74
Ford Focus,2008,Hečbekas,2200,Benzinas,Mechaninė,172349,Vilnius,1600,85
Ford Focus,2008,Universalas,2250,Dyzelinas,Mechaninė,348209,Šiauliai,1600,66
Ford Focus,2012,Universalas,2500,Benzinas,Mechaninė,220000,Vilnius,1000,92
Ford Focus,2014,Universalas,2500,Benzinas,Mechaninė,209000,Panevėžys,1000,74
Ford Focus,2013,Sedanas,2500,Benzinas,Automatinė,230000,Šiauliai,2000,92
Ford Focus,2008,Hečbekas,2680,Benzinas,Mechaninė,232120,Kaunas,1800,92
Ford Focus,2013,Hečbekas,2700,Benzinas,Mechaninė,162512,Molėtai,1000,92
Ford Focus,2008,Universalas,2750,Dyzelinas,Mechaninė,218000,Vilnius,1600,80
Ford Focus,2012,Universalas,2800,Dyzelinas,Automatinė,256270,Kaunas,2000,85
Ford Focus,2010,Universalas,2800,Dyzelinas,Mechaninė,253249,Kaunas,1600,66
Ford Focus,2011,Universalas,2999,Benzinas,Mechaninė,212000,Kaunas,1600,92
Ford Focus,2012,Hečbekas,2999,Benzinas,Mechaninė,264000,Kaunas,1000,74
Ford Focus,2010,Hečbekas,3000,Dyzelinas,Mechaninė,235249,Vilnius,1600,80
Ford Focus,2010,Universalas,3290,Dyzelinas,Mechaninė,156577,Vilnius,1600,66
Ford Focus,2011,Hečbekas,3400,Dyzelinas,Mechaninė,164311,Tauragė,1600,70
Ford Focus,2012,Universalas,3500,Benzinas,Mechaninė,284000,Kėdainiai,1000,92
Ford Focus,2013,Universalas,3550,Dyzelinas,Mechaninė,279000,Biržai,1600,85
Ford Focus,2015,Hečbekas,3600,Benzinas,Mechaninė,300000,Ukmergė,1600,63
Ford Focus,2012,Universalas,3600,Benzinas,Mechaninė,245000,Klaipėda,1000,74
Ford Focus,2011,Universalas,3699,Dyzelinas,Mechaninė,190000,Rokiškis,1600,85
Ford Focus,2012,Universalas,3699,Dyzelinas,Mechaninė,250000,Alytus,1600,70
Ford Focus,2013,Universalas,3700,Benzinas,Mechaninė,203000,Klaipėda,1000,74
Ford Focus,2016,Sedanas,3800,Benzinas,Automatinė,134000,Šiauliai,2000,118
Ford Focus,2015,Sedanas,3800,Benzinas,Automatinė,280000,Šiauliai,2000,118
Ford Focus,2012,Sedanas,3990,Dyzelinas,Mechaninė,294000,Šiauliai,1600,70
Ford Focus,2012,Universalas,3999,Dyzelinas,Mechaninė,250000,Alytus,1600,85
Ford Focus,2012,Universalas,3999,Dyzelinas,Mechaninė,226473,Telšiai,1600,85
Ford Focus,2012,Universalas,3999,Dyzelinas,Mechaninė,191000,Kaunas,1600,85
Ford Focus,2009,Kabrioletas,4000,Dyzelinas,Mechaninė,222000,Vilnius,2000,100
Ford Focus,2018,Hečbekas,4000,Benzinas,Automatinė,174000,Šiauliai,2000,118
Ford Focus,2011,Universalas,4250,Dyzelinas,Mechaninė,260800,Kaunas,1600,85
Ford Focus,2012,Hečbekas,4300,Benzinas,Mechaninė,157000,Kaunas,1000,92
Ford Focus,2013,Universalas,4499,Dyzelinas,Mechaninė,137856,Kaunas,1000,80
Ford Focus,2012,Hečbekas,4500,Benzinas,Mechaninė,153000,Kaunas,1600,110
Ford Focus,2013,Universalas,4600,Benzinas,Mechaninė,100000,Klaipėda,1000,92
Ford Focus,2015,Universalas,4600,Benzinas,Mechaninė,187000,Kaunas,1000,92
Ford Focus,2014,Hečbekas,4700,Dyzelinas,Mechaninė,169751,Vilnius,1600,70
Ford Focus,2013,Universalas,4850,Benzinas,Automatinė,152144,Kaunas,1600,92
Ford Focus,2015,Universalas,4900,Dyzelinas,Mechaninė,200000,Kaunas,1500,88
Ford Focus,2015,Universalas,4950,Benzinas,Mechaninė,108000,Kaunas,1000,92
Ford Focus,2013,Universalas,4950,Dyzelinas,Mechaninė,137000,Vilnius,1600,85
Ford Focus,2014,Universalas,4999,Dyzelinas,Automatinė,240000,Kaunas,2000,120
Ford Focus,2015,Universalas,4999,Benzinas,Mechaninė,150000,Marijampolė,1000,92
Ford Focus,2012,Sedanas,5000,Benzinas,Automatinė,115000,Vilnius,2000,106
Ford Focus,2017,Universalas,5450,Benzinas,Mechaninė,188000,Vilnius,1000,74
Ford Focus,2017,Universalas,5450,Benzinas,Mechaninė,109700,Vilnius,1000,92
Ford Focus,2013,Hečbekas,5500,Dyzelinas,Mechaninė,89850,Vilnius,1600,70
Ford Focus,2014,Universalas,5500,Benzinas,Mechaninė,138514,Panevėžys,1000,92
Ford Focus,2012,Universalas,5500,Dyzelinas,Automatinė,232000,Klaipėda,2000,120
Ford Focus,2016,Hečbekas,5600,Benzinas,Mechaninė,169000,Tauragė,1000,92
Ford Focus,2016,Hečbekas,5800,Benzinas,Mechaninė,162000,Tauragė,1000,92
Ford Focus,2016,Sedanas,5900,Dyzelinas,Mechaninė,178000,Kaunas,1500,88
Ford Focus,2015,Hečbekas,5900,Benzinas,Automatinė,245000,Vilnius,2000,118
Ford Focus,2018,Hečbekas,5999,Benzinas,Mechaninė,167000,Vilnius,1000,74
Ford Focus,2018,Hečbekas,6100,Dyzelinas,Automatinė,232699,Kaunas,1500,88
Ford Focus,2015,Universalas,6100,Benzinas,Mechaninė,139200,Prienai,1000,74
Ford Focus,2015,Universalas,6250,Dyzelinas,Mechaninė,215000,Vilnius,1500,88
Ford Focus,2017,Universalas,6350,Benzinas,Mechaninė,100778,Kretinga,1000,92
Ford Focus,2017,Sedanas,6500,Benzinas,Automatinė,65706,Šiauliai,2000,118
