Title,Year,Type,Price,Engine type,Gearbox_type,Power_unit,Milage,City
Ford Focus,['2017-02'],Universalas,5900,Benzinas,Mechaninė,"1.0 l.,         74  kW",132232,Prienai
Ford Focus,['2017-02'],Hečbekas,6150,Benzinas,Mechaninė,"1.0 l.,         74  kW",112000,Utena
Ford Focus,['2015-06'],Hečbekas,6300,Dyzelinas,Mechaninė,"1.6 l.,         85  kW",226342,Tauragė
Ford Focus,['2008-03'],Kabrioletas,1650,Benzinas,Mechaninė,"1.6 l.,         74  kW",176680,Marijampolė
Ford Focus,['2005-12'],Universalas,1950,Benzinas,Automatinė,"1.6 l.,         74  kW",231300,Vilnius
Ford Focus,['2008-12'],Universalas,2150,Benzinas,Mechaninė,"1.6 l.,         85  kW",225000,Šiauliai
Ford Focus,['2009-12'],Universalas,2330,Dyzelinas,Mechaninė,"2.0 l.,         100  kW",275000,Kretinga
Ford Focus,['2008-11'],Universalas,2400,Dyzelinas,Mechaninė,"1.6 l.,         66  kW",186000,Marijampolė
Ford Focus,['2008-07'],Universalas,2690,Benzinas,Mechaninė,"1.6 l.,         85  kW",232139,Marijampolė
Ford Focus,['2013'],Universalas,3000,Dyzelinas,Mechaninė,"1.6 l.,         85  kW",276553,Vilnius
Ford Focus,['2008-03'],Hečbekas,3000,Dyzelinas,Automatinė,"2.0 l.,         81  kW",239000,Klaipėda
Ford Focus,['2009-07'],Universalas,3300,Dyzelinas,Mechaninė,"1.6 l.,         80  kW",250000,Kaunas
Ford Focus,['2013-07'],Universalas,3500,Dyzelinas,Mechaninė,"1.6 l.,         77  kW",277668,Kaunas
Ford Focus,['2013-03'],Universalas,3650,Dyzelinas,Mechaninė,"1.6 l.,         77  kW",307000,Vilnius
Ford Focus,['2012-11'],Hečbekas,3850,Dyzelinas,Mechaninė,"1.6 l.,",300000,Šiauliai
Ford Focus,['2013-11'],Universalas,3950,Benzinas,Mechaninė,"1.0 l.,         92  kW",147556,Marijampolė
Ford Focus,['2013-05'],Universalas,4250,Dyzelinas,Mechaninė,"1.6 l.,         85  kW",260000,Kaunas
Ford Focus,['2014-09'],Universalas,4700,Benzinas,Mechaninė,"1.0 l.,         92  kW",182145,Marijampolė
Ford Focus,['2011-12'],Universalas,4850,Benzinas,Mechaninė,"1.6 l.,         110  kW",140000,Utena
Ford Focus,['2014-07'],Universalas,4899,Dyzelinas,Mechaninė,"1.6 l.,         85  kW",182216,Kretinga
Ford Focus,['2013-03'],Hečbekas,4900,Benzinas,Mechaninė,"1.0 l.,         74  kW",89000,Vilnius
Ford Focus,['2012'],Universalas,4950,Dyzelinas,Mechaninė,"1.6 l.,         70  kW",189244,Šiauliai
Ford Focus,['2014-07'],Hečbekas,4950,Benzinas,Mechaninė,"1.0 l.,         92  kW",144000,Tauragė
Ford Focus,['2013-03'],Universalas,4999,Benzinas,Mechaninė,"1.0 l.,         74  kW",188411,Kėdainiai
Ford Focus,['2013-02'],Hečbekas,5350,Benzinas,Automatinė,"1.6 l.,         92  kW",145000,Vilnius
Ford Focus,['2011'],Universalas,5600,Dyzelinas,Mechaninė,"1.6 l.,         85  kW",271694,Kaunas
Ford Focus,['2014-03'],Universalas,5650,Dyzelinas,Automatinė,"2.0 l.,         120  kW",233446,Kėdainiai
Ford Focus,['2017'],Sedanas,5950,Benzinas,Mechaninė,"1.0 l.,         92  kW",221100,"Rīga, Latvija"
Ford Focus,['2016-01'],Hečbekas,6500,Dyzelinas,Mechaninė,"1.5 l.,         88  kW",84350,Vilnius
Ford Focus,['2016-10'],Universalas,6950,Dyzelinas,Mechaninė,"1.5 l.,         88  kW",189000,Klaipėda
Ford Focus,['2016-08'],Universalas,6999,Dyzelinas,Mechaninė,"2.0 l.,         110  kW",200000,Vilnius
Ford Focus,['2016-11'],Sedanas,6999,Benzinas,Automatinė,"2.0 l.,         118  kW",131000,Kretinga
Ford Focus,['2019-09'],Universalas,7865,Benzinas,Mechaninė,"1.0 l.,         74  kW",211000,Kaunas
Ford Focus,['2018-11'],Universalas,8250,Dyzelinas,Automatinė,"1.5 l.,         88  kW",109257,Vilnius
Ford Focus,['2019-07'],Universalas,8650,Dyzelinas,Automatinė,"1.5 l.,         88  kW",148000,Kaunas
