Title,Year,Type,Price,Engine type,Gearbox_type,Milage,City,Engine,Power
Honda Civic,2006,Hečbekas,2700.0,Benzinas,Mechaninė,268650,Vilnius,1800,103
Honda Civic,2007,Sedanas,2999.0,Benzinas / elektra,Automatinė,265000,Kazlų Rūda,1300,70
Honda Civic,2008,Hečbekas,3000.0,Benzinas,Mechaninė,212345,Šiauliai,1800,103
Honda Civic,2008,Hečbekas,3200.0,Benzinas,Automatinė,200220,Kaunas,1800,103
Honda Civic,2008,Hečbekas,3350.0,Dyzelinas,Mechaninė,218000,Kaunas,2200,103
Honda Civic,2009,Sedanas,3750.0,Benzinas / elektra,Automatinė,247000,Ukmergė,1300,70
Honda Civic,2008,Hečbekas,4400.0,Benzinas,Mechaninė,317758,Klaipėda,1800,103
Honda Civic,2011,Hečbekas,4500.0,Benzinas / dujos,Automatinė,183500,Prienai,1300,73
Honda Civic,2012,Hečbekas,4500.0,Dyzelinas,Mechaninė,249963,Vilnius,2200,110
Honda Civic,2016,Universalas,5000.0,Benzinas,Automatinė,121106,Klaipėda,1800,104
Honda Civic,2012,Hečbekas,5900.0,Dyzelinas,Mechaninė,279230,Klaipėda,2200,110
Honda Civic,2015,Hečbekas,6900.0,Dyzelinas,Mechaninė,128000,Šiauliai,1600,88
Honda Civic,2014,Universalas,7250.0,Dyzelinas,Mechaninė,277265,Vilnius,1600,88
Honda Civic,2014,Hečbekas,7500.0,Benzinas,Mechaninė,192663,Marijampolė,1400,74
Honda Civic,2012,Hečbekas,8222.0,Dyzelinas,Mechaninė,190000,Vilnius,2200,110
Honda Civic,2015,Hečbekas,8300.0,Dyzelinas,Mechaninė,235485,Prienai,1600,88
Honda Civic,2016,Hečbekas,9950.0,Dyzelinas,Mechaninė,138000,Radviliškis,1600,88
Honda Civic,2019,Sedanas,14900.0,Dyzelinas,Automatinė,162000,Panevėžys,1600,88
Honda Civic,2021,Hečbekas,17950.0,Benzinas,Automatinė,1653,Šiauliai,1500,132
Honda Civic,2020,Sedanas,18400.0,Benzinas,Mechaninė,33200,Vilnius,1500,134
Honda Civic,2019,Hečbekas,18900.0,Benzinas,Automatinė,71000,Vilnius,1500,134
Honda Civic,2020,Hečbekas,19991.0,Benzinas,Mechaninė,65400,Vilnius,1500,134
Honda Civic,2004,Hečbekas,300.0,Dyzelinas,Mechaninė,338000,Marijampolė,1700,73
Honda Civic,2004,Hečbekas,850.0,Benzinas,Mechaninė,253000,Kaunas,1600,81
Honda Civic,2002,Hečbekas,1000.0,Dyzelinas,Mechaninė,325000,Kaunas,1700,74
Honda Civic,2004,Hečbekas,1000.0,Dyzelinas,Mechaninė,299544,Vilnius,1700,74
Honda Civic,2003,Hečbekas,1100.0,Benzinas,Automatinė,238290,Kaunas,1600,81
Honda Civic,2007,Hečbekas,1150.0,Dyzelinas,Mechaninė,277000,Vilnius,2200,103
Honda Civic,2008,Hečbekas,1350.0,Benzinas,Mechaninė,135000,Kaunas,1300,61
Honda Civic,2004,Hečbekas,1400.0,Dyzelinas,Mechaninė,302400,Kaunas,1700,74
Honda Civic,2007,Sedanas,1500.0,Benzinas,Automatinė,221334,Vilnius,1800,103
Honda Civic,2005,Hečbekas,1500.0,Dyzelinas,Mechaninė,202240,Ukmergė,1700,74
Honda Civic,2004,Sedanas,1550.0,Benzinas,Automatinė,169000,Vilnius,1600,81
Honda Civic,2007,Hečbekas,1600.0,Dyzelinas,Mechaninė,257754,Ukmergė,2200,103
Honda Civic,2008,Kita,1700.0,Dyzelinas,Mechaninė,354157,Vilnius,2200,104
Honda Civic,2008,Sedanas,1700.0,Benzinas,Automatinė,259000,Vilnius,1800,103
Honda Civic,2006,Kupė (Coupe),1800.0,Benzinas,Mechaninė,275200,Telšiai,1800,103
Honda Civic,2005,Hečbekas,2000.0,Benzinas,Mechaninė,280000,Alytus,1600,81
Honda Civic,2007,Kupė (Coupe),2000.0,Dyzelinas,Mechaninė,313530,Kaunas,2200,103
Honda Civic,2006,Hečbekas,2100.0,Dyzelinas,Mechaninė,270000,Šiauliai,2200,136
Honda Civic,2006,Hečbekas,2200.0,Dyzelinas,Mechaninė,245000,Šiauliai,2200,103
