Title,Year,Type,Price,Engine type,Gearbox_type,Power_unit,Milage,City
Honda Civic,['2006-08'],Hečbekas,2700,Benzinas,Mechaninė,"1.8 l.,         103  kW",268650,Vilnius
Honda Civic,['2007-11'],Sedanas,2999,Benzinas / elektra,Automatinė,"1.3 l.,         70  kW",265000,Kazlų Rūda
Honda Civic,['2008-10'],Hečbekas,3000,Benzinas,Mechaninė,"1.8 l.,         103  kW",212345,Šiauliai
Honda Civic,['2008-01'],Hečbekas,3200,Benzinas,Automatinė,"1.8 l.,         103  kW",200220,Kaunas
Honda Civic,['2008-10'],Hečbekas,3350,Dyzelinas,Mechaninė,"2.2 l.,         103  kW",218000,Kaunas
Honda Civic,['2009-11'],Sedanas,3750,Benzinas / elektra,Automatinė,"1.3 l.,         70  kW",247000,Ukmergė
Honda Civic,['2008'],Hečbekas,4400,Benzinas,Mechaninė,"1.8 l.,         103  kW",317758,Klaipėda
Honda Civic,['2011-12'],Hečbekas,4500,Benzinas / dujos,Automatinė,"1.3 l.,         73  kW",183500,Prienai
Honda Civic,['2012-06'],Hečbekas,4500,Dyzelinas,Mechaninė,"2.2 l.,         110  kW",249963,Vilnius
Honda Civic,['2016-11'],Universalas,5000,Benzinas,Automatinė,"1.8 l.,         104  kW",121106,Klaipėda
Honda Civic,['2012'],Hečbekas,5900,Dyzelinas,Mechaninė,"2.2 l.,         110  kW",279230,Klaipėda
Honda Civic,['2015-06'],Hečbekas,6900,Dyzelinas,Mechaninė,"1.6 l.,         88  kW",128000,Šiauliai
Honda Civic,['2014-06'],Universalas,7250,Dyzelinas,Mechaninė,"1.6 l.,         88  kW",277265,Vilnius
Honda Civic,['2014-03'],Hečbekas,7500,Benzinas,Mechaninė,"1.4 l.,         74  kW",192663,Marijampolė
Honda Civic,['2012-07'],Hečbekas,8222,Dyzelinas,Mechaninė,"2.2 l.,         110  kW",190000,Vilnius
Honda Civic,['2015-10'],Hečbekas,8300,Dyzelinas,Mechaninė,"1.6 l.,         88  kW",235485,Prienai
Honda Civic,['2016-01'],Hečbekas,9950,Dyzelinas,Mechaninė,"1.6 l.,         88  kW",138000,Radviliškis
Honda Civic,['2019'],Sedanas,14900,Dyzelinas,Automatinė,"1.6 l.,         88  kW",162000,Panevėžys
Honda Civic,['2021-07'],Hečbekas,17950,Benzinas,Automatinė,"1.5 l.,         132  kW",1653,Šiauliai
Honda Civic,['2020-06'],Sedanas,18400,Benzinas,Mechaninė,"1.5 l.,         134  kW",33200,Vilnius
Honda Civic,['2019-08'],Hečbekas,18900,Benzinas,Automatinė,"1.5 l.,         134  kW",71000,Vilnius
Honda Civic,['2020-12'],Hečbekas,19991,Benzinas,Mechaninė,"1.5 l.,         134  kW",65400,Vilnius
Honda Civic,['2016-11'],Hečbekas,N/A,Benzinas,Automatinė,"1.8 l.,         104  kW",135914,"Harjumaa, Estija"
Honda Civic,['2004'],Hečbekas,300,Dyzelinas,Mechaninė,"1.7 l.,         73  kW",338000,Marijampolė
Honda Civic,['2004'],Hečbekas,850,Benzinas,Mechaninė,"1.6 l.,         81  kW",253000,Kaunas
Honda Civic,['2002-06'],Hečbekas,1000,Dyzelinas,Mechaninė,"1.7 l.,         74  kW",325000,Kaunas
Honda Civic,['2004'],Hečbekas,1000,Dyzelinas,Mechaninė,"1.7 l.,         74  kW",299544,Vilnius
Honda Civic,['2003-07'],Hečbekas,1100,Benzinas,Automatinė,"1.6 l.,         81  kW",238290,Kaunas
Honda Civic,['2007-08'],Hečbekas,1150,Dyzelinas,Mechaninė,"2.2 l.,         103  kW",277000,Vilnius
Honda Civic,['2008-10'],Hečbekas,1350,Benzinas,Mechaninė,"1.3 l.,         61  kW",135000,Kaunas
Honda Civic,['2004-05'],Hečbekas,1400,Dyzelinas,Mechaninė,"1.7 l.,         74  kW",302400,Kaunas
Honda Civic,['2007'],Sedanas,1500,Benzinas,Automatinė,"1.8 l.,         103  kW",221334,Vilnius
Honda Civic,['2005-10'],Hečbekas,1500,Dyzelinas,Mechaninė,"1.7 l.,         74  kW",202240,Ukmergė
