Title,Year,Type,Price,Engine type,Gearbox_type,Milage,City,Engine,Power
Hyundai i30,2012,Hečbekas,1550.0,Benzinas,Mechaninė,155000,Šiauliai,1400,80
Hyundai i30,2009,Hečbekas,2000.0,Dyzelinas,Mechaninė,345099,Panevėžys,1600,66
Hyundai i30,2011,Universalas,2390.0,Dyzelinas,Mechaninė,220000,Marijampolė,1600,66
Hyundai i30,2008,Hečbekas,3199.0,Dyzelinas,Mechaninė,209000,Klaipėda,1600,66
Hyundai i30,2012,Hečbekas,3200.0,Dyzelinas,Mechaninė,272500,Klaipėda,1600,66
Hyundai i30,2011,Universalas,3250.0,Dyzelinas,Mechaninė,254200,Kretinga,1600,66
Hyundai i30,2013,Hečbekas,4500.0,Dyzelinas,Mechaninė,230000,Vilnius,1600,81
Hyundai i30,2016,Hečbekas,7200.0,Dyzelinas,Mechaninė,230000,Marijampolė,1600,81
Hyundai i30,2015,Universalas,7350.0,Dyzelinas,Mechaninė,161000,Kaunas,1600,81
Hyundai i30,2021,Universalas,11500.0,Dyzelinas,Automatinė,162500,Tauragė,1600,85
Hyundai i30,2017,Hečbekas,16900.0,Benzinas,Mechaninė,115000,Vilnius,2000,202
Hyundai i30,2024,Universalas,2495727730.0,Benzinas,Automatinė,20,Vilnius,1500,118
Hyundai i30,2008,Hečbekas,1500.0,Dyzelinas,Mechaninė,300000,Klaipėda,1600,66
Hyundai i30,2008,Hečbekas,1650.0,Dyzelinas,Mechaninė,224433,Palanga,1600,66
Hyundai i30,2009,Hečbekas,1900.0,Benzinas,Mechaninė,107727,Vilnius,1400,80
Hyundai i30,2008,Hečbekas,2400.0,Dyzelinas,Mechaninė,244969,Kaunas,1600,85
Hyundai i30,2009,Hečbekas,2400.0,Dyzelinas,Mechaninė,214189,Šiauliai,1600,85
Hyundai i30,2011,Hečbekas,2450.0,Benzinas / dujos,Mechaninė,210000,Vilnius,1400,80
Hyundai i30,2011,Hečbekas,2550.0,Dyzelinas,Mechaninė,349885,Klaipėda,1600,66
Hyundai i30,2010,Universalas,2600.0,Dyzelinas,Mechaninė,219200,Utena,1600,66
Hyundai i30,2008,Universalas,2600.0,Benzinas,Mechaninė,282300,Kaunas,1600,93
Hyundai i30,2011,Hečbekas,2750.0,Dyzelinas,Mechaninė,278000,Marijampolė,1600,66
Hyundai i30,2007,Hečbekas,2800.0,Benzinas,Mechaninė,151800,Panevėžys,1600,80
Hyundai i30,2011,Hečbekas,2900.0,Dyzelinas,Mechaninė,400000,Kėdainiai,1600,66
Hyundai i30,2012,Hečbekas,3000.0,Dyzelinas,Mechaninė,304000,Vilnius,1400,66
Hyundai i30,2009,Hečbekas,3400.0,Benzinas,Mechaninė,104476,Kaunas,1400,80
Hyundai i30,2012,Hečbekas,3450.0,Dyzelinas,Mechaninė,300000,Vilnius,1600,66
Hyundai i30,2011,Universalas,3450.0,Dyzelinas,Mechaninė,142000,Alytus,1600,66
Hyundai i30,2013,Hečbekas,3490.0,Dyzelinas,Mechaninė,265700,Utena,1400,66
Hyundai i30,2009,Hečbekas,4200.0,Benzinas,Automatinė,115000,Šiauliai,1600,93
Hyundai i30,2011,Hečbekas,4200.0,Benzinas,Mechaninė,193202,Telšiai,1400,80
Hyundai i30,2012,Hečbekas,4500.0,Dyzelinas,Mechaninė,200450,Radviliškis,1600,66
Hyundai i30,2012,Hečbekas,4500.0,Dyzelinas,Mechaninė,139437,Vilnius,1600,66
Hyundai i30,2013,Hečbekas,4700.0,Dyzelinas,Mechaninė,238000,Kaunas,1400,66
Hyundai i30,2013,Hečbekas,4750.0,Dyzelinas,Mechaninė,178959,Kretinga,1400,66
Hyundai i30,2019,Universalas,5200.0,Dyzelinas,Mechaninė,147300,Panevėžys,1600,85
Hyundai i30,2012,Hečbekas,5500.0,Dyzelinas,Mechaninė,218026,Panevėžys,1400,66
Hyundai i30,2014,Universalas,5500.0,Dyzelinas,Mechaninė,216638,Kaunas,1400,66
Hyundai i30,2013,Universalas,5800.0,Benzinas,Automatinė,178464,Kuršėnai,1600,99
Hyundai i30,2012,Universalas,5900.0,Dyzelinas,Automatinė,260000,Šiauliai,1600,94
Hyundai i30,2014,Universalas,6200.0,Dyzelinas,Automatinė,256000,Kaunas,1600,81
Hyundai i30,2016,Universalas,6400.0,Dyzelinas,Mechaninė,265240,Panevėžys,1600,81
Hyundai i30,2015,Hečbekas,6450.0,Dyzelinas,Mechaninė,234000,Marijampolė,1600,81
Hyundai i30,2015,Universalas,6800.0,Dyzelinas,Mechaninė,180284,Kaunas,1600,94
Hyundai i30,2016,Universalas,7400.0,Dyzelinas,Mechaninė,185000,Marijampolė,1600,81
Hyundai i30,2022,Hečbekas,7500.0,Benzinas,Automatinė,34700,Šiauliai,1000,88
Hyundai i30,2016,Hečbekas,7550.0,Dyzelinas,Automatinė,132000,Jurbarkas,1600,100
Hyundai i30,2018,Hečbekas,7999.0,Dyzelinas,Mechaninė,140000,Marijampolė,1600,81
Hyundai i30,2018,Hečbekas,10500.0,Dyzelinas,Mechaninė,118422,Klaipėda,1600,70
Hyundai i30,2022,Universalas,14200.0,Dyzelinas,Automatinė,125000,Panevėžys,1600,85
Hyundai i30,2022,Universalas,15500.0,Benzinas,Automatinė,35100,Klaipėda,1000,88
Hyundai i30,2019,Hečbekas,18500.0,Benzinas,Mechaninė,94990,Vilnius,2000,202
Hyundai i30,2018,Hečbekas,19000.0,Benzinas,Mechaninė,71000,Vilnius,2000,202
Hyundai i30,2008,Hečbekas,1650.0,Dyzelinas,Mechaninė,234080,Jonava,1600,66
Hyundai i30,2008,Hečbekas,1650.0,Dyzelinas,Mechaninė,256000,Vilnius,1600,66
Hyundai i30,2010,Hečbekas,1950.0,Dyzelinas,Mechaninė,222000,Klaipėda,1600,66
Hyundai i30,2009,Hečbekas,1950.0,Dyzelinas,Mechaninė,268000,Vilnius,1600,66
Hyundai i30,2010,Universalas,2200.0,Dyzelinas,Mechaninė,206000,Tauragė,1600,66
Hyundai i30,2019,Hečbekas,2200.0,Benzinas,Mechaninė,61946,Širvintos,1000,88
Hyundai i30,2008,Hečbekas,2300.0,Dyzelinas,Mechaninė,320555,Vilnius,1600,85
Hyundai i30,2012,Hečbekas,2450.0,Dyzelinas,Mechaninė,375726,Kaunas,1400,66
Hyundai i30,2010,Hečbekas,2500.0,Dyzelinas,Mechaninė,239615,Jonava,1600,66
Hyundai i30,2008,Hečbekas,2600.0,Dyzelinas,Mechaninė,380000,Vilnius,1600,85
Hyundai i30,2011,Hečbekas,2650.0,Dyzelinas,Mechaninė,227008,Vilnius,1600,66
Hyundai i30,2010,Hečbekas,2650.0,Dyzelinas,Mechaninė,173047,Šiauliai,1600,66
Hyundai i30,2010,Universalas,2750.0,Benzinas / dujos,Mechaninė,277680,Klaipėda,1400,80
Hyundai i30,2013,Hečbekas,2800.0,Dyzelinas,Mechaninė,254000,Tauragė,1400,66
Hyundai i30,2012,Universalas,2800.0,Dyzelinas,Mechaninė,205000,Kaunas,1600,81
Hyundai i30,2011,Universalas,2800.0,Dyzelinas,Mechaninė,271000,Ukmergė,1600,66
Hyundai i30,2011,Universalas,2900.0,Dyzelinas,Mechaninė,165320,Šilutė,1600,85
Hyundai i30,2009,Universalas,2900.0,Dyzelinas,Automatinė,239843,Kuršėnai,1600,85
Hyundai i30,2011,Universalas,2950.0,Benzinas / dujos,Mechaninė,239359,Kaunas,1400,80
Hyundai i30,2011,Hečbekas,3000.0,Benzinas,Mechaninė,154551,Vilnius,1400,80
Hyundai i30,2011,Universalas,3000.0,Benzinas,Mechaninė,187000,Vilnius,1400,80
Hyundai i30,2011,Hečbekas,3100.0,Dyzelinas,Mechaninė,233100,Vilnius,1600,66
Hyundai i30,2015,Hečbekas,3450.0,Dyzelinas,Mechaninė,152976,Marijampolė,1600,81
Hyundai i30,2011,Hečbekas,3700.0,Benzinas,Mechaninė,160000,Prienai,1400,80
Hyundai i30,2011,Universalas,3750.0,Benzinas,Mechaninė,183245,Kretinga,1400,80
Hyundai i30,2010,Universalas,4100.0,Dyzelinas,Mechaninė,139500,Vilnius,1600,66
Hyundai i30,2014,Kupė (Coupe),4800.0,Dyzelinas,Mechaninė,230000,Marijampolė,1600,94
Hyundai i30,2014,Hečbekas,5000.0,Dyzelinas,Mechaninė,210000,Kaunas,1400,66
Hyundai i30,2013,Universalas,5500.0,Dyzelinas,Mechaninė,188000,Kaunas,1600,81
Hyundai i30,2012,Hečbekas,5900.0,Dyzelinas,Mechaninė,166000,Radviliškis,1600,81
Hyundai i30,2013,Hečbekas,5950.0,Dyzelinas,Mechaninė,172200,Radviliškis,1400,66
Hyundai i30,2013,Hečbekas,6000.0,Benzinas,Mechaninė,126000,Klaipėda,1400,73
Hyundai i30,2016,Universalas,6450.0,Dyzelinas,Automatinė,275000,Kaunas,1600,100
Hyundai i30,2015,Hečbekas,6650.0,Dyzelinas,Mechaninė,184000,Radviliškis,1600,81
Hyundai i30,2017,Universalas,6700.0,Dyzelinas,Mechaninė,256000,Šiauliai,1600,81
Hyundai i30,2018,Hečbekas,7250.0,Dyzelinas,Mechaninė,88268,"Rīga, Latvija",1600,81
Hyundai i30,2017,Hečbekas,10600.0,Dyzelinas,Automatinė,114000,"Rīga, Latvija",1600,100
Hyundai i30,2020,Universalas,10999.0,Benzinas,Mechaninė,67000,Kaunas,1000,88
Hyundai i30,2019,Hečbekas,11999.0,Benzinas,Mechaninė,38000,Kaunas,1000,88
Hyundai i30,2021,Universalas,13750.0,Dyzelinas,Automatinė,178000,Šiauliai,1600,85
Hyundai i30,2021,Universalas,15990.0,Benzinas,Mechaninė,140000,Šiauliai,1500,118
Hyundai i30,2019,Hečbekas,18900.0,Benzinas,Mechaninė,91000,Šilalė,2000,202
