Title,Year,Type,Price,Engine type,Gearbox_type,Power_unit,Milage,City
Kia cee'd,['2013-04'],Universalas,3950,Dyzelinas,Mechaninė,"1.6 l.,         94  kW",281912,Vilnius
Kia cee'd,['2019-06'],Universalas,14500,Dyzelinas,Automatinė,"1.6 l.,         100  kW",110882,Vilnius
Kia cee'd,['2007-06'],Universalas,2399,Dyzelinas,Mechaninė,"1.6 l.,         84  kW",340000,Vilkaviškis
Kia cee'd,['2007-02'],Hečbekas,2950,Benzinas,Mechaninė,"1.6 l.,         89  kW",236100,Radviliškis
Kia cee'd,['2011-05'],Universalas,3700,Benzinas,Mechaninė,"1.4 l.,         66  kW",131000,Vilnius
Kia cee'd,['2014-09'],Universalas,3900,Dyzelinas,Mechaninė,"1.6 l.,",294646,Vilnius
Kia cee'd,['2013'],Hečbekas,4800,Dyzelinas,Mechaninė,"1.4 l.,         66  kW",230000,Vilnius
Kia cee'd,['2016-08'],Hečbekas,5500,Benzinas,Mechaninė,"1.4 l.,         74  kW",216470,Marijampolė
Kia cee'd,['2015-02'],Universalas,5650,Dyzelinas,Mechaninė,"1.6 l.,         94  kW",292400,Radviliškis
Kia cee'd,['2014-03'],Hečbekas,5750,Benzinas,Mechaninė,"1.4 l.,         74  kW",96946,Vilnius
Kia cee'd,['2013-03'],Hečbekas,7777,Dyzelinas,Mechaninė,"1.4 l.,         66  kW",100000,Vilnius
Kia cee'd,['2015-03'],Hečbekas,8300,Dyzelinas,Mechaninė,"1.6 l.,         81  kW",73800,Vilnius
Kia cee'd,['2020-01'],Hečbekas,9900,Dyzelinas,Mechaninė,"1.6 l.,         85  kW",233000,Tauragė
Kia cee'd,['2019-01'],Universalas,9922,Dyzelinas,Mechaninė,"1.6 l.,         85  kW",166000,Kaunas
Kia cee'd,['2020-09'],Universalas,10769,Benzinas,Mechaninė,"1.0 l.,         88  kW",190000,Kaunas
Kia cee'd,['2019'],Universalas,10800,Dyzelinas,Mechaninė,"1.6 l.,         85  kW",130000,Kaunas
Kia cee'd,['2021-02'],Hečbekas,10900,Dyzelinas / elektra,Automatinė,"1.6 l.,         100  kW",239000,Vilnius
Kia cee'd,['2019-09'],Hečbekas,13490,Dyzelinas,Mechaninė,"1.6 l.,         85  kW",60000,Vilnius
Kia cee'd,['2019-09'],Hečbekas,13490,Dyzelinas,Mechaninė,"1.6 l.,         85  kW",55000,Vilnius
Kia cee'd,['2019-09'],Hečbekas,13490,Dyzelinas,Mechaninė,"1.6 l.,         85  kW",62000,Vilnius
Kia cee'd,['2019-09'],Hečbekas,13490,Dyzelinas,Mechaninė,"1.6 l.,         85  kW",51000,Vilnius
Kia cee'd,['2020-10'],Hečbekas,13990,Benzinas,Mechaninė,"1.0 l.,         74  kW",53000,Vilnius
Kia cee'd,['2020-10'],Hečbekas,13990,Benzinas,Mechaninė,"1.0 l.,         74  kW",55000,Vilnius
Kia cee'd,['2021-04'],Hečbekas,16790,Benzinas,Automatinė,"1.5 l.,         118  kW",94000,Kaunas
Kia cee'd,['2022-04'],Hečbekas,16900,Benzinas,Mechaninė,"1.5 l.,         118  kW",22426,Vilnius
Kia cee'd,['2022-04'],Universalas,17950,Benzinas,Automatinė,"1.5 l.,         117  kW",51550,Vilnius
Kia cee'd,['2023-04'],Universalas,18490,Benzinas,Mechaninė,"1.0 l.,         74  kW",16000,Vilnius
Kia cee'd,['2021-04'],Universalas,18600,Benzinas / elektra,Automatinė,"1.6 l.,         104  kW",82000,Vilnius
Kia cee'd,['2023-09'],Hečbekas,18990,Benzinas,Mechaninė,"1.5 l.,         118  kW",7000,Vilnius
Kia cee'd,['2023-02'],Hečbekas,23990,Benzinas,Automatinė,"1.5 l.,         118  kW",25000,Vilnius
Kia cee'd,['2008'],Universalas,850,Dyzelinas,Mechaninė,"1.6 l.,         66  kW",386000,Klaipėda
Kia cee'd,['2007-12'],Hečbekas,1490,Benzinas,Mechaninė,"1.6 l.,         90  kW",300000,Vilnius
Kia cee'd,['2007-09'],Hečbekas,1599,Dyzelinas,Mechaninė,"1.6 l.,         85  kW",256276,Marijampolė
Kia cee'd,['2007-03'],Hečbekas,1850,Benzinas,Mechaninė,"1.4 l.,         80  kW",195000,Vilnius
Kia cee'd,['2007-06'],Hečbekas,1880,Dyzelinas,Mechaninė,"1.6 l.,         85  kW",285000,Vilnius
Kia cee'd,['2008-04'],Universalas,1900,Dyzelinas,Mechaninė,"1.6 l.,         66  kW",305433,Klaipėda
Kia cee'd,['2008'],Universalas,2200,Dyzelinas,Mechaninė,"2.0 l.,         103  kW",222000,Kėdainiai
Kia cee'd,['2009-04'],Hečbekas,2450,Dyzelinas,Mechaninė,"1.6 l.,         66  kW",224937,Ukmergė
Kia cee'd,['2010-09'],Hečbekas,2499,Benzinas / dujos,Mechaninė,"1.4 l.,         66  kW",150832,Šiauliai
Kia cee'd,['2011-06'],Hečbekas,2600,Dyzelinas,Mechaninė,"1.6 l.,         85  kW",215000,Šilutė
Kia cee'd,['2018-06'],Universalas,2600,Dyzelinas,Mechaninė,"1.6 l.,         100  kW",300000,Kaunas
Kia cee'd,['2009-10'],Universalas,2600,Dyzelinas,Mechaninė,"1.6 l.,         66  kW",270000,Alytus
Kia cee'd,['2010-09'],Universalas,2650,Dyzelinas,Mechaninė,"1.6 l.,         66  kW",261254,Kaunas
Kia cee'd,['2008'],Kupė (Coupe),2650,Dyzelinas,Mechaninė,"1.6 l.,         66  kW",205787,Vilnius
Kia cee'd,['2007-08'],Hečbekas,2699,Benzinas,Automatinė,"1.6 l.,         90  kW",241500,Vilnius
Kia cee'd,['2008'],Hečbekas,2750,Dyzelinas,Mechaninė,"2.0 l.,         103  kW",292000,Rietavas
Kia cee'd,['2010-12'],Hečbekas,2950,Dyzelinas,Mechaninė,"1.6 l.,         66  kW",160000,Vilnius
Kia cee'd,['2010-09'],Hečbekas,2999,Dyzelinas,Mechaninė,"1.6 l.,         85  kW",250000,Kretinga
Kia cee'd,['2011-02'],Hečbekas,3250,Dyzelinas,Mechaninė,"1.6 l.,         66  kW",220359,Ukmergė
Kia cee'd,['2011-10'],Universalas,3300,Dyzelinas,Mechaninė,"1.6 l.,         94  kW",248500,Marijampolė
Kia cee'd,['2011-12'],Hečbekas,3550,Dyzelinas,Mechaninė,"1.6 l.,         85  kW",187000,Vilnius
Kia cee'd,['2010-09'],Universalas,3799,Benzinas,Mechaninė,"1.4 l.,         66  kW",156163,Marijampolė
Kia cee'd,['2010-11'],Hečbekas,3849,Benzinas,Mechaninė,"1.4 l.,         80  kW",191000,Marijampolė
Kia cee'd,['2013'],Universalas,4000,Dyzelinas,Mechaninė,"1.4 l.,         66  kW",343818,"Rīga, Latvija"
Kia cee'd,['2014-06'],Hečbekas,4300,Dyzelinas,Mechaninė,"1.4 l.,         66  kW",312300,Vilnius
Kia cee'd,['2013-10'],Hečbekas,4400,Dyzelinas,Mechaninė,"1.4 l.,         66  kW",197000,Trakai
Kia cee'd,['2013-12'],Universalas,4900,Dyzelinas,Mechaninė,"1.6 l.,         81  kW",242503,Telšiai
Kia cee'd,['2011-08'],Hečbekas,4999,Benzinas / dujos,Automatinė,"1.6 l.,         92  kW",222000,Kėdainiai
Kia cee'd,['2018-09'],Hečbekas,5400,Dyzelinas,Automatinė,"1.6 l.,         100  kW",130000,Tauragė
Kia cee'd,['2013-10'],Universalas,5850,Dyzelinas,Automatinė,"1.6 l.,         94  kW",245464,Kaunas
Kia cee'd,['2013-05'],Universalas,6000,Dyzelinas,Automatinė,"1.6 l.,         94  kW",243289,Panevėžys
Kia cee'd,['2018-02'],Hečbekas,6100,Dyzelinas,Mechaninė,"1.4 l.,         66  kW",200000,Vilnius
Kia cee'd,['2014-06'],Universalas,6200,Dyzelinas,Mechaninė,"1.6 l.,         94  kW",278500,Vilnius
Kia cee'd,['2013-01'],Universalas,6200,Dyzelinas,Mechaninė,"1.6 l.,         81  kW",262200,Marijampolė
Kia cee'd,['2013-01'],Universalas,6300,Benzinas,Mechaninė,"1.6 l.,         99  kW",231000,Kaunas
Kia cee'd,['2019-09'],Hečbekas,6655,Dyzelinas,Mechaninė,"1.6 l.,         85  kW",149349,Kaunas
Kia cee'd,['2017-09'],Hečbekas,6800,Dyzelinas,Mechaninė,"1.6 l.,         100  kW",180885,Vilnius
Kia cee'd,['2017-11'],Hečbekas,6900,Dyzelinas,Mechaninė,"1.4 l.,         66  kW",78622,Vilnius
Kia cee'd,['2020-09'],Universalas,6999,Benzinas,Mechaninė,"1.0 l.,         74  kW",70000,Panevėžys
Kia cee'd,['2014-07'],Universalas,7000,Dyzelinas,Automatinė,"1.6 l.,         94  kW",267400,Vilnius
Kia cee'd,['2015-12'],Universalas,7490,Dyzelinas,Mechaninė,"1.6 l.,         100  kW",249000,Panevėžys
Kia cee'd,['2014-11'],Universalas,7600,Benzinas,Automatinė,"1.6 l.,         99  kW",161000,Jurbarkas
Kia cee'd,['2018-02'],Universalas,7600,Benzinas,Mechaninė,"1.0 l.,         88  kW",117500,Radviliškis
Kia cee'd,['2015-12'],Hečbekas,7790,Dyzelinas,Mechaninė,"1.6 l.,         100  kW",141000,Vilnius
Kia cee'd,['2019-10'],Universalas,7999,Dyzelinas,Mechaninė,"1.6 l.,         85  kW",150000,Marijampolė
Kia cee'd,['2022-02'],Universalas,9400,Benzinas,Mechaninė,"1.0 l.,         74  kW",47000,Šiauliai
Kia cee'd,['2021-12'],Universalas,9600,Dyzelinas,Mechaninė,"1.6 l.,         85  kW",250533,Telšiai
Kia cee'd,['2019-09'],Hečbekas,9922,Dyzelinas,Mechaninė,"1.6 l.,         85  kW",146349,Kaunas
Kia cee'd,['2016-04'],Universalas,9999,Dyzelinas,Mechaninė,"1.6 l.,         100  kW",166735,Kaunas
Kia cee'd,['2017-05'],Universalas,10500,Benzinas,Automatinė,"1.6 l.,         99  kW",119000,Kaunas
Kia cee'd,['2021-07'],Universalas,11200,Benzinas,Mechaninė,"1.0 l.,         74  kW",59770,Šiauliai
Kia cee'd,['2020-05'],Hečbekas,12500,Benzinas,Mechaninė,"1.0 l.,         74  kW",92600,Kaunas
