Title,Year,Type,Price,Engine type,Gearbox_type,Power_unit,Milage,City
Mazda 3,['2015-04'],Sedanas,3700,Dyzelinas,Mechaninė,"2.2 l.,         110  kW",251000,Telšiai
Mazda 3,['2015'],Sedanas,7100,Dyzelinas,Mechaninė,"2.2 l.,         110  kW",244125,Ukmergė
Mazda 3,['2013-11'],Hečbekas,7999,Dyzelinas,Automatinė,"2.2 l.,         110  kW",224219,Kretinga
Mazda 3,['2019-11'],Hečbekas,12900,Dyzelinas,Automatinė,"1.8 l.,         85  kW",202370,Tauragė
Mazda 3,['2016-03'],Hečbekas,14991,Benzinas,Automatinė,"2.0 l.,         88  kW",70450,Vilnius
Mazda 3,['2019-01'],Hečbekas,15551,Benzinas,Automatinė,"2.0 l.,         88  kW",83840,Klaipėda
Mazda 3,['2019-01'],Hečbekas,15551,Benzinas,Automatinė,"2.0 l.,         88  kW",102000,Klaipėda
Mazda 3,['2020-06'],Hečbekas,15950,Benzinas,Mechaninė,"2.0 l.,         90  kW",45784,Kaunas
Mazda 3,['2019-01'],Hečbekas,15991,Benzinas,Automatinė,"2.0 l.,         88  kW",105520,Vilnius
Mazda 3,['2020-11'],Sedanas,17990,Benzinas,Automatinė,"2.5 l.,         137  kW",63319,Kaunas
Mazda 3,['2021-06'],Hečbekas,19500,Benzinas / elektra,Automatinė,"1.6 l.,         110  kW",56400,Kaunas
Mazda 3,['2019-11'],Sedanas,22990,Benzinas,Automatinė,"2.0 l.,         132  kW",84000,Vilnius
Mazda 3,['2009-02'],Hečbekas,1200,Benzinas,Mechaninė,"1.6 l.,         77  kW",246000,Kaunas
Mazda 3,['2005-01'],Hečbekas,1350,Dyzelinas,Mechaninė,"1.6 l.,         80  kW",220000,Vilnius
Mazda 3,['2007'],Hečbekas,1400,Dyzelinas,Mechaninė,"1.6 l.,         80  kW",235736,Panevėžys
Mazda 3,['2008-08'],Sedanas,1600,Benzinas,Mechaninė,"1.6 l.,         77  kW",190000,Vilnius
Mazda 3,['2008'],Sedanas,2000,Benzinas,Mechaninė,"1.6 l.,         77  kW",100000,Telšiai
Mazda 3,['2009-12'],Hečbekas,2750,Benzinas,Automatinė,"2.0 l.,         110  kW",88000,Klaipėda
Mazda 3,['2011-07'],Hečbekas,2950,Dyzelinas,Mechaninė,"2.2 l.,         136  kW",240000,Tauragė
Mazda 3,['2009-07'],Hečbekas,3600,Benzinas,Mechaninė,"1.6 l.,         77  kW",209998,Šiauliai
Mazda 3,['2011-01'],Hečbekas,3950,Dyzelinas,Mechaninė,"2.2 l.,         110  kW",216000,Radviliškis
Mazda 3,['2013-10'],Hečbekas,4200,Dyzelinas,Mechaninė,"2.2 l.,         110  kW",200000,Šiauliai
