Title,Year,Type,Price,Engine type,Gearbox_type,Milage,City,Engine,Power
Peugeot 308,2012,Hečbekas,2999.0,Dyzelinas,Mechaninė,263197,Panevėžys,1600,68
Peugeot 308,2011,Universalas,2999.0,Dyzelinas,Mechaninė,255000,Kaunas,1600,82
Peugeot 308,2010,Hečbekas,3299.0,Dyzelinas,Mechaninė,239884,Kretinga,1600,68
Peugeot 308,2010,Hečbekas,3500.0,Benzinas,Mechaninė,119682,Klaipėda,1400,70
Peugeot 308,2012,Hečbekas,3500.0,Dyzelinas,Mechaninė,215000,Kaunas,1600,68
Peugeot 308,2012,Universalas,3890.0,Dyzelinas,Mechaninė,260000,Tauragė,1600,82
Peugeot 308,2017,Universalas,4500.0,Dyzelinas,Mechaninė,237000,Tauragė,1600,73
Peugeot 308,2014,Universalas,4600.0,Dyzelinas,Mechaninė,230000,Tauragė,1600,88
Peugeot 308,2014,Universalas,4700.0,Dyzelinas,Mechaninė,233000,Tauragė,1600,88
Peugeot 308,2014,Universalas,4700.0,Benzinas,Mechaninė,318000,Kaunas,1200,81
Peugeot 308,2015,Universalas,4900.0,Dyzelinas,Mechaninė,231200,Tauragė,1600,88
Peugeot 308,2012,Hečbekas,4950.0,Dyzelinas,Automatinė,262000,Kretinga,1600,82
Peugeot 308,2014,Universalas,4999.0,Benzinas,Mechaninė,218300,Klaipėda,1200,96
Peugeot 308,2014,Universalas,5300.0,Benzinas,Mechaninė,122718,Marijampolė,1200,96
Peugeot 308,2010,Kabrioletas,5350.0,Dyzelinas,Mechaninė,165994,Marijampolė,2000,103
Peugeot 308,2015,Hečbekas,5500.0,Benzinas,Mechaninė,195000,Tauragė,1200,81
Peugeot 308,2016,Universalas,5500.0,Dyzelinas,Mechaninė,264000,Tauragė,1600,73
Peugeot 308,2014,Universalas,5500.0,Benzinas,Mechaninė,130000,Tauragė,1200,96
Peugeot 308,2016,Hečbekas,5600.0,Dyzelinas,Mechaninė,256000,Tauragė,1600,73
Peugeot 308,2017,Universalas,5600.0,Dyzelinas,Mechaninė,230000,Tauragė,1600,74
Peugeot 308,2015,Universalas,5700.0,Benzinas,Mechaninė,139400,Vilnius,1200,81
Peugeot 308,2013,Kabrioletas,5800.0,Dyzelinas,Automatinė,215000,Kaunas,2000,121
Peugeot 308,2016,Hečbekas,5800.0,Benzinas,Mechaninė,150000,Tauragė,1200,81
Peugeot 308,2014,Universalas,6150.0,Benzinas,Mechaninė,132000,Vilnius,1200,96
Peugeot 308,2014,Hečbekas,6200.0,Dyzelinas,Mechaninė,212000,Vilnius,1600,85
Peugeot 308,2019,Universalas,6300.0,Dyzelinas,Mechaninė,140000,Tauragė,1500,96
Peugeot 308,2016,Universalas,6300.0,Dyzelinas,Automatinė,215000,Tauragė,2000,110
Peugeot 308,2019,Hečbekas,6300.0,Dyzelinas,Mechaninė,178000,Tauragė,1500,75
Peugeot 308,2014,Universalas,6450.0,Dyzelinas,Mechaninė,171254,Marijampolė,1600,85
Peugeot 308,2015,Universalas,6500.0,Dyzelinas,Mechaninė,264468,Vilnius,1600,88
Peugeot 308,2016,Hečbekas,6500.0,Benzinas,Mechaninė,140000,Tauragė,1200,81
Peugeot 308,2019,Hečbekas,6800.0,Dyzelinas,Mechaninė,180000,Tauragė,1500,75
Peugeot 308,2020,Hečbekas,7500.0,Dyzelinas,Mechaninė,165000,Tauragė,1500,75
Peugeot 308,2017,Hečbekas,7700.0,Benzinas,Automatinė,157000,Vilnius,1200,96
Peugeot 308,2016,Hečbekas,7700.0,Dyzelinas,Mechaninė,169000,Vilnius,1600,88
Peugeot 308,2015,Universalas,7800.0,Dyzelinas,Automatinė,230000,Tauragė,2000,110
Peugeot 308,2019,Universalas,7900.0,Benzinas,Automatinė,153000,Kaunas,1200,96
Peugeot 308,2018,Hečbekas,7900.0,Benzinas,Mechaninė,155000,Kaunas,1200,81
Peugeot 308,2017,Universalas,7950.0,Dyzelinas,Automatinė,174000,Kaunas,1600,88
Peugeot 308,2019,Universalas,7986.0,Dyzelinas,Mechaninė,206454,Vilnius,1500,96
Peugeot 308,2018,Universalas,8349.0,Dyzelinas,Mechaninė,222000,Kaunas,1500,96
Peugeot 308,2019,Universalas,8400.0,Dyzelinas,Automatinė,168000,Kaunas,1500,96
Peugeot 308,2021,Hečbekas,8450.0,Benzinas,Mechaninė,161956,Vilnius,1200,96
