Title,Year,Type,Price,Engine type,Gearbox_type,Power_unit,Milage,City
Peugeot 308,['2008-06'],Hečbekas,2000,Dyzelinas,Mechaninė,"1.6 l.,",220464,Vilnius
Peugeot 308,['2012-08'],Hečbekas,2999,Dyzelinas,Mechaninė,"1.6 l.,         68  kW",263197,Panevėžys
Peugeot 308,['2011-11'],Universalas,2999,Dyzelinas,Mechaninė,"1.6 l.,         82  kW",255000,Kaunas
Peugeot 308,['2010-05'],Hečbekas,3299,Dyzelinas,Mechaninė,"1.6 l.,         68  kW",239884,Kretinga
Peugeot 308,['2010-03'],Hečbekas,3500,Benzinas,Mechaninė,"1.4 l.,         70  kW",119682,Klaipėda
Peugeot 308,['2012-02'],Hečbekas,3500,Dyzelinas,Mechaninė,"1.6 l.,         68  kW",215000,Kaunas
Peugeot 308,['2012-05'],Universalas,3890,Dyzelinas,Mechaninė,"1.6 l.,         82  kW",260000,Tauragė
Peugeot 308,['2017-08'],Universalas,4500,Dyzelinas,Mechaninė,"1.6 l.,         73  kW",237000,Tauragė
Peugeot 308,['2014-10'],Universalas,4600,Dyzelinas,Mechaninė,"1.6 l.,         88  kW",230000,Tauragė
Peugeot 308,['2014-05'],Universalas,4700,Dyzelinas,Mechaninė,"1.6 l.,         88  kW",233000,Tauragė
Peugeot 308,['2014-10'],Universalas,4700,Benzinas,Mechaninė,"1.2 l.,         81  kW",318000,Kaunas
Peugeot 308,['2015-12'],Universalas,4900,Dyzelinas,Mechaninė,"1.6 l.,         88  kW",231200,Tauragė
Peugeot 308,['2012-08'],Hečbekas,4950,Dyzelinas,Automatinė,"1.6 l.,         82  kW",262000,Kretinga
Peugeot 308,['2014-12'],Universalas,4999,Benzinas,Mechaninė,"1.2 l.,         96  kW",218300,Klaipėda
Peugeot 308,['2014-09'],Universalas,5300,Benzinas,Mechaninė,"1.2 l.,         96  kW",122718,Marijampolė
Peugeot 308,['2010-09'],Kabrioletas,5350,Dyzelinas,Mechaninė,"2.0 l.,         103  kW",165994,Marijampolė
Peugeot 308,['2015-01'],Hečbekas,5500,Benzinas,Mechaninė,"1.2 l.,         81  kW",195000,Tauragė
Peugeot 308,['2016-09'],Universalas,5500,Dyzelinas,Mechaninė,"1.6 l.,         73  kW",264000,Tauragė
Peugeot 308,['2015-09'],Universalas,5500,Dyzelinas,Mechaninė,"1.6 l.,",219000,Tauragė
Peugeot 308,['2014-10'],Universalas,5500,Benzinas,Mechaninė,"1.2 l.,         96  kW",130000,Tauragė
Peugeot 308,['2016-10'],Hečbekas,5600,Dyzelinas,Mechaninė,"1.6 l.,         73  kW",256000,Tauragė
Peugeot 308,['2017-06'],Universalas,5600,Dyzelinas,Mechaninė,"1.6 l.,         74  kW",230000,Tauragė
Peugeot 308,['2015-06'],Universalas,5700,Benzinas,Mechaninė,"1.2 l.,         81  kW",139400,Vilnius
Peugeot 308,['2013-06'],Kabrioletas,5800,Dyzelinas,Automatinė,"2.0 l.,         121  kW",215000,Kaunas
Peugeot 308,['2016-02'],Hečbekas,5800,Benzinas,Mechaninė,"1.2 l.,         81  kW",150000,Tauragė
Peugeot 308,['2014-11'],Universalas,6150,Benzinas,Mechaninė,"1.2 l.,         96  kW",132000,Vilnius
Peugeot 308,['2014-02'],Hečbekas,6200,Dyzelinas,Mechaninė,"1.6 l.,         85  kW",212000,Vilnius
Peugeot 308,['2019-05'],Universalas,6300,Dyzelinas,Mechaninė,"1.5 l.,         96  kW",140000,Tauragė
Peugeot 308,['2016-08'],Universalas,6300,Dyzelinas,Automatinė,"2.0 l.,         110  kW",215000,Tauragė
Peugeot 308,['2019-12'],Hečbekas,6300,Dyzelinas,Mechaninė,"1.5 l.,         75  kW",178000,Tauragė
Peugeot 308,['2014-10'],Universalas,6450,Dyzelinas,Mechaninė,"1.6 l.,         85  kW",171254,Marijampolė
Peugeot 308,['2015-11'],Universalas,6500,Dyzelinas,Mechaninė,"1.6 l.,         88  kW",264468,Vilnius
Peugeot 308,['2016-04'],Hečbekas,6500,Benzinas,Mechaninė,"1.2 l.,         81  kW",140000,Tauragė
Peugeot 308,['2019-11'],Hečbekas,6800,Dyzelinas,Mechaninė,"1.5 l.,         75  kW",180000,Tauragė
Peugeot 308,['2020-07'],Hečbekas,7500,Dyzelinas,Mechaninė,"1.5 l.,         75  kW",165000,Tauragė
Peugeot 308,['2017-02'],Hečbekas,7700,Benzinas,Automatinė,"1.2 l.,         96  kW",157000,Vilnius
Peugeot 308,['2016-07'],Hečbekas,7700,Dyzelinas,Mechaninė,"1.6 l.,         88  kW",169000,Vilnius
Peugeot 308,['2015-06'],Universalas,7800,Dyzelinas,Automatinė,"2.0 l.,         110  kW",230000,Tauragė
Peugeot 308,['2019-12'],Universalas,7900,Benzinas,Automatinė,"1.2 l.,         96  kW",153000,Kaunas
Peugeot 308,['2018-07'],Hečbekas,7900,Benzinas,Mechaninė,"1.2 l.,         81  kW",155000,Kaunas
Peugeot 308,['2017-05'],Universalas,7950,Dyzelinas,Automatinė,"1.6 l.,         88  kW",174000,Kaunas
Peugeot 308,['2019-06'],Universalas,7986,Dyzelinas,Mechaninė,"1.5 l.,         96  kW",206454,Vilnius
Peugeot 308,['2018-09'],Universalas,8349,Dyzelinas,Mechaninė,"1.5 l.,         96  kW",222000,Kaunas
Peugeot 308,['2019-12'],Universalas,8400,Dyzelinas,Automatinė,"1.5 l.,         96  kW",168000,Kaunas
Peugeot 308,['2021-03'],Hečbekas,8450,Benzinas,Mechaninė,"1.2 l.,         96  kW",161956,Vilnius
Peugeot 308,['2018-01'],Hečbekas,8550,Dyzelinas,Automatinė,"1.6 l.,         88  kW",208000,Kaunas
Peugeot 308,['2020-02'],Universalas,8954,Benzinas,Mechaninė,"1.2 l.,         81  kW",173000,Kaunas
Peugeot 308,['2020-07'],Universalas,9000,Dyzelinas,Automatinė,"1.5 l.,         96  kW",186000,Tauragė
Peugeot 308,['2021-07'],Universalas,9317,Benzinas,Mechaninė,"1.2 l.,         81  kW",157000,Kaunas
Peugeot 308,['2018-12'],Hečbekas,9500,Dyzelinas,Automatinė,"1.5 l.,         96  kW",155000,Panevėžys
Peugeot 308,['2019-06'],Universalas,9500,Benzinas,Mechaninė,"1.2 l.,         97  kW",198940,Vilnius
Peugeot 308,['2019-05'],Universalas,9559,Dyzelinas,Mechaninė,"1.5 l.,         96  kW",225000,Marijampolė
Peugeot 308,['2021-02'],Universalas,9700,Dyzelinas,Automatinė,"1.5 l.,         96  kW",178000,Tauragė
Peugeot 308,['2018-10'],Hečbekas,9799,Dyzelinas,Automatinė,"1.5 l.,         96  kW",158615,Šiauliai
Peugeot 308,['2020-03'],Universalas,9916,Dyzelinas,Mechaninė,"1.5 l.,         75  kW",166882,Marijampolė
Peugeot 308,['2019-10'],Universalas,10164,Benzinas,Automatinė,"1.2 l.,         96  kW",188977,Vilnius
Peugeot 308,['2020-12'],Universalas,10279,Dyzelinas,Mechaninė,"1.5 l.,         96  kW",170000,Marijampolė
Peugeot 308,['2020-01'],Hečbekas,10527,Benzinas,Automatinė,"1.2 l.,         81  kW",152101,Vilnius
Peugeot 308,['2020-01'],Universalas,10642,Dyzelinas,Automatinė,"1.5 l.,         96  kW",160488,Marijampolė
Peugeot 308,['2021-05'],Universalas,10763,Dyzelinas,Automatinė,"1.5 l.,         96  kW",134688,Marijampolė
Peugeot 308,['2019'],Hečbekas,10950,Dyzelinas,Automatinė,"1.5 l.,         96  kW",180443,Šiauliai
Peugeot 308,['2020-09'],Visureigis / Krosoveris,11489,Dyzelinas,Automatinė,"1.5 l.,         96  kW",159000,Marijampolė
Peugeot 308,['2020-07'],Visureigis / Krosoveris,13304,Dyzelinas,Automatinė,"1.5 l.,         96  kW",115000,Marijampolė
Peugeot 308,['2020-02'],Hečbekas,13500,Dyzelinas,Mechaninė,"1.5 l.,         75  kW",29000,Kretinga
Peugeot 308,['2023-05'],Hečbekas,23950,Benzinas,Automatinė,"1.2 l.,         96  kW",4200,Vilnius
Peugeot 308,['2023-05'],Universalas,2790037753,Benzinas,Automatinė,"1.2 l.,         96  kW",11000,Klaipėda
Peugeot 308,['2024-02'],Universalas,39990,Benzinas / elektra,Automatinė,"1.6 l.,         132  kW",1600,Vilnius
Peugeot 308,['2015-12'],Universalas,N/A,Dyzelinas,Mechaninė,"1.6 l.,         88  kW",215557,"Harjumaa, Estija"
Peugeot 308,['2008-10'],Universalas,1200,Dyzelinas,Mechaninė,"1.6 l.,         66  kW",250000,Panevėžys
Peugeot 308,['2009'],Hečbekas,1250,Benzinas,Mechaninė,"1.6 l.,         88  kW",209000,Vilnius
Peugeot 308,['2009-01'],Hečbekas,1250,Benzinas,Mechaninė,"1.6 l.,         88  kW",180904,Panevėžys
Peugeot 308,['2008-05'],Hečbekas,1320,Dyzelinas,Automatinė,"2.0 l.,         100  kW",247000,Pasvalys
Peugeot 308,['2008'],Hečbekas,1450,Benzinas,Mechaninė,"1.6 l.,         88  kW",334000,Klaipėda
Peugeot 308,['2008-08'],Hečbekas,1500,Benzinas,Mechaninė,"1.6 l.,         88  kW",245531,Kaunas
Peugeot 308,['2009-10'],Universalas,2100,Dyzelinas,Mechaninė,"1.6 l.,         66  kW",330000,Vilkaviškis
Peugeot 308,['2011-06'],Universalas,2200,Dyzelinas,Automatinė,"1.6 l.,         82  kW",170000,Telšiai
Peugeot 308,['2011-10'],Hečbekas,2699,Dyzelinas,Mechaninė,"1.6 l.,         68  kW",268000,Tauragė
Peugeot 308,['2013-08'],Hečbekas,2799,Dyzelinas,Mechaninė,"1.6 l.,         84  kW",264000,Kaunas
Peugeot 308,['2011-07'],Hečbekas,2800,Benzinas,Mechaninė,"1.4 l.,         70  kW",146000,Kaunas
Peugeot 308,['2009-11'],Hečbekas,3000,Dyzelinas,Mechaninė,"1.6 l.,         80  kW",208963,Tauragė
Peugeot 308,['2010-01'],Hečbekas,3200,Dyzelinas,Mechaninė,"1.6 l.,         80  kW",280000,Vilnius
Peugeot 308,['2011'],Universalas,3450,Dyzelinas,Mechaninė,"2.0 l.,         103  kW",262034,Kaunas
Peugeot 308,['2012-02'],Hečbekas,3500,Benzinas / dujos,Automatinė,"1.6 l.,         88  kW",150000,Vilnius
Peugeot 308,['2014-11'],Universalas,3799,Dyzelinas,Mechaninė,"1.6 l.,         88  kW",190000,Alytus
Peugeot 308,['2017'],Universalas,3999,Benzinas,Mechaninė,"1.2 l.,         81  kW",139536,Kaunas
Peugeot 308,['2013-01'],Universalas,4300,Dyzelinas,Automatinė,"1.6 l.,         82  kW",248000,Šiauliai
