Title,Year,Type,Price,Engine type,Gearbox_type,Milage,City,Engine,Power
Renault Megane,2007,Hečbekas,2100.0,Benzinas,Mechaninė,199000,Kaunas,1600,82
Renault Megane,2011,Hečbekas,2350.0,Dyzelinas,Mechaninė,220000,Tauragė,1500,66
Renault Megane,2011,Hečbekas,2999.0,Benzinas,Mechaninė,225321,Marijampolė,1400,96
Renault Megane,2010,Universalas,3200.0,Dyzelinas,Automatinė,290000,Marijampolė,1500,81
Renault Megane,2014,Universalas,3600.0,Dyzelinas,Mechaninė,194000,Tauragė,1500,70
Renault Megane,2012,Universalas,4190.0,Dyzelinas,Mechaninė,240214,Vilnius,1500,81
Renault Megane,2013,Universalas,5650.0,Dyzelinas,Mechaninė,240000,Kaunas,1600,96
Renault Megane,2017,Universalas,6950.0,Dyzelinas,Mechaninė,238000,Šiauliai,1500,81
Renault Megane,2017,Universalas,7500.0,Dyzelinas,Automatinė,232000,Tauragė,1500,81
Renault Megane,2018,Universalas,7800.0,Dyzelinas,Mechaninė,312000,Tauragė,1500,81
Renault Megane,2019,Universalas,8349.0,Benzinas,Mechaninė,206000,Kaunas,1300,85
Renault Megane,2018,Universalas,8349.0,Benzinas,Mechaninė,157000,Kaunas,1300,85
Renault Megane,2017,Universalas,8712.0,Dyzelinas,Mechaninė,255000,Kaunas,1600,96
Renault Megane,2019,Universalas,8712.0,Benzinas,Mechaninė,154000,Kaunas,1300,103
Renault Megane,2020,Universalas,8890.0,Dyzelinas,Automatinė,219980,Vilnius,1500,85
Renault Megane,2017,Universalas,9200.0,Benzinas,Mechaninė,118000,Vilnius,1200,96
Renault Megane,2018,Universalas,9559.0,Dyzelinas,Automatinė,202000,Kaunas,1500,81
Renault Megane,2016,Universalas,9800.0,Dyzelinas,Automatinė,247547,Kaunas,1500,81
Renault Megane,2018,Universalas,9900.0,Benzinas,Mechaninė,151000,Klaipėda,1600,85
Renault Megane,2016,Universalas,9916.0,Dyzelinas,Mechaninė,149000,Marijampolė,1500,81
Renault Megane,2017,Universalas,10200.0,Dyzelinas,Automatinė,184390,Tauragė,1600,121
Renault Megane,2019,Universalas,10200.0,Dyzelinas,Mechaninė,184272,Kaunas,1500,85
Renault Megane,2017,Universalas,10400.0,Benzinas,Automatinė,113500,Panevėžys,1200,96
Renault Megane,2020,Universalas,10647.0,Dyzelinas,Automatinė,183000,Vilnius,1500,85
Renault Megane,2020,Universalas,11700.0,Dyzelinas,Automatinė,170000,Tauragė,1500,85
