Title,Year,Type,Price,Engine type,Gearbox_type,Power_unit,Milage,City
Renault Megane,['2007-09'],Hečbekas,2100,Benzinas,Mechaninė,"1.6 l.,         82  kW",199000,Kaunas
Renault Megane,['2011-05'],Hečbekas,2350,Dyzelinas,Mechaninė,"1.5 l.,         66  kW",220000,Tauragė
Renault Megane,['2011-07'],Hečbekas,2999,Benzinas,Mechaninė,"1.4 l.,         96  kW",225321,Marijampolė
Renault Megane,['2010-07'],Universalas,3200,Dyzelinas,Automatinė,"1.5 l.,         81  kW",290000,Marijampolė
Renault Megane,['2009-11'],Universalas,3500,Benzinas,Mechaninė,"1.6 l.,",260000,Alytus
Renault Megane,['2014-07'],Universalas,3600,Dyzelinas,Mechaninė,"1.5 l.,         70  kW",194000,Tauragė
Renault Megane,['2013-02'],Universalas,3950,Dyzelinas,Mechaninė,"1.5 l.,",198246,Šiauliai
Renault Megane,['2012-06'],Universalas,4190,Dyzelinas,Mechaninė,"1.5 l.,         81  kW",240214,Vilnius
Renault Megane,['2013-09'],Universalas,5650,Dyzelinas,Mechaninė,"1.6 l.,         96  kW",240000,Kaunas
Renault Megane,['2017-12'],Universalas,6950,Dyzelinas,Mechaninė,"1.5 l.,         81  kW",238000,Šiauliai
Renault Megane,['2017-06'],Universalas,7500,Dyzelinas,Automatinė,"1.5 l.,         81  kW",232000,Tauragė
Renault Megane,['2018-10'],Universalas,7800,Dyzelinas,Mechaninė,"1.5 l.,         81  kW",312000,Tauragė
Renault Megane,['2019-02'],Universalas,8349,Benzinas,Mechaninė,"1.3 l.,         85  kW",206000,Kaunas
Renault Megane,['2018-11'],Universalas,8349,Benzinas,Mechaninė,"1.3 l.,         85  kW",157000,Kaunas
Renault Megane,['2017-06'],Universalas,8712,Dyzelinas,Mechaninė,"1.6 l.,         96  kW",255000,Kaunas
Renault Megane,['2019-06'],Universalas,8712,Benzinas,Mechaninė,"1.3 l.,         103  kW",154000,Kaunas
Renault Megane,['2020-02'],Universalas,8890,Dyzelinas,Automatinė,"1.5 l.,         85  kW",219980,Vilnius
Renault Megane,['2017-03'],Universalas,9200,Benzinas,Mechaninė,"1.2 l.,         96  kW",118000,Vilnius
Renault Megane,['2018-07'],Universalas,9559,Dyzelinas,Automatinė,"1.5 l.,         81  kW",202000,Kaunas
Renault Megane,['2016'],Universalas,9800,Dyzelinas,Automatinė,"1.5 l.,         81  kW",247547,Kaunas
Renault Megane,['2018-04'],Universalas,9900,Benzinas,Mechaninė,"1.6 l.,         85  kW",151000,Klaipėda
Renault Megane,['2016-12'],Universalas,9916,Dyzelinas,Mechaninė,"1.5 l.,         81  kW",149000,Marijampolė
Renault Megane,['2017-09'],Universalas,10200,Dyzelinas,Automatinė,"1.6 l.,         121  kW",184390,Tauragė
Renault Megane,['2019-01'],Universalas,10200,Dyzelinas,Mechaninė,"1.5 l.,         85  kW",184272,Kaunas
Renault Megane,['2019-06'],Universalas,10279,Dyzelinas,Mechaninė,"1.5 l.,",199000,Marijampolė
Renault Megane,['2017-08'],Universalas,10400,Benzinas,Automatinė,"1.2 l.,         96  kW",113500,Panevėžys
Renault Megane,['2020-10'],Universalas,10647,Dyzelinas,Automatinė,"1.5 l.,         85  kW",183000,Vilnius
Renault Megane,['2020-11'],Universalas,11700,Dyzelinas,Automatinė,"1.5 l.,         85  kW",170000,Tauragė
Renault Megane,['2019-12'],Universalas,11736,Dyzelinas,Mechaninė,"1.5 l.,         85  kW",176000,Vilnius
Renault Megane,['2020-08'],Hečbekas,11978,Dyzelinas,Mechaninė,"1.5 l.,         85  kW",153000,Vilnius
Renault Megane,['2021-02'],Hečbekas,12820,Dyzelinas,Automatinė,"1.5 l.,         85  kW",169000,Marijampolė
Renault Megane,['2020-08'],Universalas,13310,Dyzelinas,Automatinė,"1.5 l.,         85  kW",154000,Marijampolė
Renault Megane,['2021-02'],Universalas,13667,Dyzelinas,Mechaninė,"1.5 l.,         85  kW",129000,Marijampolė
Renault Megane,['2020-12'],Universalas,14200,Dyzelinas,Automatinė,"1.5 l.,         85  kW",78000,Vilnius
Renault Megane,['2021-02'],Universalas,14399,Dyzelinas,Automatinė,"1.5 l.,         85  kW",140092,Marijampolė
Renault Megane,['2020-11'],Universalas,14519,Dyzelinas,Automatinė,"1.5 l.,         85  kW",145000,Vilnius
Renault Megane,['2021-01'],Universalas,15003,Dyzelinas,Automatinė,"1.5 l.,         85  kW",178000,Vilnius
Renault Megane,['2020-12'],Universalas,15124,Dyzelinas,Automatinė,"1.5 l.,         85  kW",181000,Vilnius
Renault Megane,['2022-06'],Universalas,18000,Dyzelinas,Automatinė,"1.5 l.,         85  kW",14419,Vilnius
Renault Megane,['2019-10'],Hečbekas,28900,Benzinas,Automatinė,"1.8 l.,         221  kW",72000,Vilnius
Renault Megane,['2011-03'],Universalas,N/A,Dyzelinas,Mechaninė,"1.5 l.,         66  kW",270860,"Harjumaa, Estija"
Renault Megane,['2004-07'],Universalas,300,Dyzelinas,Mechaninė,"1.9 l.,         88  kW",201604,Panevėžys
Renault Megane,['1996'],Hečbekas,599,Benzinas,Automatinė,"1.6 l.,         66  kW",165128,Vilnius
Renault Megane,['2005-03'],Universalas,1100,Benzinas,Mechaninė,"1.6 l.,         83  kW",271418,Šiauliai
Renault Megane,['2010-09'],Universalas,1150,Dyzelinas,Mechaninė,"1.5 l.,",430000,Kaunas
Renault Megane,['2006-04'],Sedanas,1150,Dyzelinas,Mechaninė,"1.5 l.,         78  kW",286022,Vilnius
Renault Megane,['2004'],Kupė (Coupe),1450,Dyzelinas,Mechaninė,"1.9 l.,         88  kW",183476,Pakruojis
Renault Megane,['2007-08'],Universalas,1600,Benzinas / dujos,Automatinė,"1.6 l.,         82  kW",167705,Šiauliai
Renault Megane,['2004-04'],Kupė (Coupe),1700,Dyzelinas,Mechaninė,"1.5 l.,         60  kW",283000,Vilnius
Renault Megane,['2024-05'],Kabrioletas,1700,Dyzelinas,Mechaninė,"1.9 l.,         88  kW",251334,Tauragė
Renault Megane,['2010-03'],Hečbekas,1800,Dyzelinas,Mechaninė,"1.9 l.,         96  kW",210500,Tauragė
Renault Megane,['2005-05'],Kabrioletas,1900,Dyzelinas,Mechaninė,"1.9 l.,         88  kW",324000,Kaunas
Renault Megane,['2011-07'],Hečbekas,1900,Dyzelinas,Mechaninė,"1.5 l.,         66  kW",210000,Panevėžys
Renault Megane,['2005-02'],Kabrioletas,1950,Benzinas,Mechaninė,"1.6 l.,         83  kW",207000,Šiauliai
Renault Megane,['2004'],Universalas,2000,Dyzelinas,Mechaninė,"1.9 l.,         88  kW",262000,Šiauliai
Renault Megane,['2011'],Universalas,2100,Dyzelinas,Mechaninė,"1.5 l.,         66  kW",305000,Šilutė
Renault Megane,['2004-06'],Kabrioletas,2100,Dyzelinas,Mechaninė,"1.9 l.,         88  kW",322064,Kaunas
Renault Megane,['2006-11'],Kabrioletas,2150,Dyzelinas,Mechaninė,"1.9 l.,         85  kW",218732,Ukmergė
Renault Megane,['2007'],Kabrioletas,2150,Dyzelinas,Mechaninė,"1.9 l.,         96  kW",273580,Kaunas
Renault Megane,['2009-04'],Kupė (Coupe),2200,Benzinas,Mechaninė,"1.6 l.,         81  kW",194000,Kaunas
Renault Megane,['2011-02'],Hečbekas,2200,Dyzelinas,Mechaninė,"1.5 l.,         78  kW",207429,Vilnius
Renault Megane,['2008-11'],Hečbekas,2250,Dyzelinas,Mechaninė,"1.5 l.,         63  kW",280000,Tauragė
Renault Megane,['2007'],Kabrioletas,2400,Dyzelinas,Automatinė,"1.9 l.,",170000,Panevėžys
Renault Megane,['2005-11'],Kabrioletas,2400,Benzinas,Mechaninė,"1.6 l.,         83  kW",196299,Radviliškis
Renault Megane,['2009'],Kupė (Coupe),2500,Dyzelinas,Mechaninė,"2.0 l.,         96  kW",228000,Vilnius
Renault Megane,['2009-07'],Kupė (Coupe),2550,Dyzelinas,Mechaninė,"1.5 l.,         78  kW",145700,Vilnius
Renault Megane,['2007-01'],Kabrioletas,2650,Benzinas,Mechaninė,"2.0 l.,         99  kW",87700,Rokiškis
Renault Megane,['2008-01'],Sedanas,2700,Benzinas,Mechaninė,"1.6 l.,         82  kW",68000,Vilnius
Renault Megane,['2011-11'],Hečbekas,2700,Dyzelinas,Mechaninė,"1.5 l.,         81  kW",175000,Tauragė
Renault Megane,['2011-08'],Universalas,2750,Dyzelinas,Mechaninė,"1.9 l.,         96  kW",282000,Alytus
Renault Megane,['2008-11'],Kabrioletas,2800,Benzinas,Automatinė,"2.0 l.,         99  kW",268000,Klaipėda
Renault Megane,['2004-07'],Kabrioletas,2800,Dyzelinas,Mechaninė,"1.9 l.,         88  kW",188500,Klaipėda
Renault Megane,['2011-06'],Universalas,2800,Dyzelinas,Mechaninė,"1.5 l.,         78  kW",265000,Prienai
Renault Megane,['2010-11'],Universalas,2800,Dyzelinas,Mechaninė,"1.5 l.,         66  kW",302000,Tauragė
Renault Megane,['2009-12'],Universalas,2850,Dyzelinas,Mechaninė,"1.9 l.,         96  kW",326000,Kaišiadorys
Renault Megane,['2012-12'],Hečbekas,2950,Benzinas,Mechaninė,"1.2 l.,         85  kW",170000,Tauragė
Renault Megane,['2011-05'],Universalas,2999,Dyzelinas,Mechaninė,"1.5 l.,         78  kW",202797,Marijampolė
Renault Megane,['2010-02'],Hečbekas,3000,Dyzelinas,Mechaninė,"1.5 l.,         81  kW",251448,Joniškis
Renault Megane,['2008'],Kabrioletas,3150,Benzinas,Mechaninė,"2.0 l.,         99  kW",178000,Radviliškis
Renault Megane,['2009'],Hečbekas,3200,Dyzelinas,Mechaninė,"1.5 l.,         81  kW",185000,Klaipėda
Renault Megane,['2009-10'],Universalas,3400,Dyzelinas,Mechaninė,"1.9 l.,         96  kW",268700,Šiauliai
