Title,Year,Type,Price,Engine type,Gearbox_type,Milage,City,Engine,Power
Skoda Octavia,2015,Universalas,8900.0,Dyzelinas,Automatinė,230000,Vilnius,1600,81
Skoda Octavia,2014,Universalas,5555.0,Benzinas,Mechaninė,222800,Šiauliai,1200,77
Skoda Octavia,2014,Universalas,7260.0,Benzinas,Automatinė,247200,Vilnius,1800,132
Skoda Octavia,2002,Universalas,1200.0,Benzinas,Mechaninė,300000,Panevėžys,2000,85
Skoda Octavia,2009,Hečbekas,2900.0,Dyzelinas,Mechaninė,295515,Vilnius,1900,77
Skoda Octavia,2009,Hečbekas,3500.0,Benzinas,Automatinė,223000,Telšiai,1800,118
Skoda Octavia,2017,Hečbekas,8600.0,Dyzelinas,Mechaninė,108400,Vilnius,1600,85
Skoda Octavia,2016,Universalas,10900.0,Benzinas,Mechaninė,103000,Vilnius,1800,132
Skoda Octavia,2019,Universalas,13800.0,Dyzelinas,Automatinė,151200,Vilnius,2000,110
Skoda Octavia,2018,Universalas,15900.0,Dyzelinas,Automatinė,147344,Vilnius,2000,110
Skoda Octavia,2021,Sedanas,19200.0,Benzinas,Automatinė,113470,Vilnius,1500,110
Skoda Octavia,2008,Sedanas,2550.0,Dyzelinas,Mechaninė,347000,Vilnius,1900,85
Skoda Octavia,2009,Hečbekas,2750.0,Dyzelinas,Mechaninė,297647,Vilnius,1900,77
Skoda Octavia,2011,Universalas,3300.0,Benzinas,Mechaninė,203000,Vilnius,1400,90
Skoda Octavia,2019,Universalas,8990.0,Benzinas,Mechaninė,210250,Vilnius,1000,85
Skoda Octavia,2018,Sedanas,11000.0,Dyzelinas,Automatinė,209016,Vilnius,2000,110
Skoda Octavia,2019,Sedanas,11950.0,Dyzelinas,Automatinė,210000,Vilnius,2000,110
Skoda Octavia,2004,Universalas,850.0,Dyzelinas,Mechaninė,284646,Vilnius,1900,66
Skoda Octavia,2010,Hečbekas,900.0,Dyzelinas,Mechaninė,354000,Vilnius,1900,77
Skoda Octavia,2004,Universalas,1599.0,Benzinas,Mechaninė,260000,Jurbarkas,2000,85
Skoda Octavia,2005,Sedanas,1700.0,Dyzelinas,Mechaninė,295221,Vilnius,1900,77
Skoda Octavia,2005,Universalas,1750.0,Dyzelinas,Mechaninė,358550,Vilnius,1900,77
Skoda Octavia,2009,Universalas,1850.0,Dyzelinas,Mechaninė,226000,Biržai,1600,77
Skoda Octavia,2008,Hečbekas,2000.0,Dyzelinas,Automatinė,501000,Vilnius,2000,103
Skoda Octavia,2004,Hečbekas,2199.0,Dyzelinas,Automatinė,282117,Kėdainiai,1900,66
Skoda Octavia,2006,Universalas,2400.0,Dyzelinas,Automatinė,292000,Vilnius,1900,77
Skoda Octavia,2009,Universalas,2500.0,Dyzelinas,Mechaninė,350000,Kaunas,1900,77
Skoda Octavia,2007,Universalas,2500.0,Benzinas,Automatinė,275165,Marijampolė,1600,75
Skoda Octavia,2009,Universalas,2800.0,Dyzelinas,Automatinė,345000,Vilnius,1600,77
Skoda Octavia,2011,Hečbekas,2900.0,Dyzelinas,Mechaninė,460000,Klaipėda,1600,77
Skoda Octavia,2009,Universalas,2999.0,Benzinas / dujos,Mechaninė,220000,Marijampolė,1600,75
Skoda Octavia,2008,Hečbekas,3450.0,Dyzelinas,Automatinė,268000,Vilnius,1900,77
Skoda Octavia,2011,Universalas,3500.0,Benzinas,Mechaninė,270000,Marijampolė,1400,90
Skoda Octavia,2014,Universalas,3650.0,Dyzelinas,Mechaninė,593000,Kaunas,1600,77
Skoda Octavia,2011,Hečbekas,3700.0,Dyzelinas,Automatinė,271380,Vilnius,1600,77
Skoda Octavia,2009,Universalas,3800.0,Benzinas,Automatinė,238000,Kaunas,1800,118
Skoda Octavia,2008,Hečbekas,3900.0,Dyzelinas,Mechaninė,286390,Tauragė,2000,125
Skoda Octavia,2011,Universalas,3950.0,Benzinas,Mechaninė,163000,Vilnius,1400,90
Skoda Octavia,2011,Universalas,4000.0,Dyzelinas,Mechaninė,231000,Utena,1600,77
Skoda Octavia,2020,Universalas,4400.0,Dyzelinas,Mechaninė,100000,Šiauliai,1600,85
