Title,Year,Type,Price,Engine type,Gearbox_type,Power_unit,Milage,City
Skoda Octavia,['2015-07'],Universalas,8900,Dyzelinas,Automatinė,"1.6 l.,         81  kW",230000,Vilnius
Skoda Octavia,['2014-10'],Universalas,5555,Benzinas,Mechaninė,"1.2 l.,         77  kW",222800,Šiauliai
Skoda Octavia,['2014-07'],Universalas,7260,Benzinas,Automatinė,"1.8 l.,         132  kW",247200,Vilnius
Skoda Octavia,['2021-08'],Universalas,11400,Benzinas / elektra,Automatinė,110  kW,85136,Kaunas
Skoda Octavia,['2002-11'],Universalas,1200,Benzinas,Mechaninė,"2.0 l.,         85  kW",300000,Panevėžys
Skoda Octavia,['2010-07'],Universalas,2500,Dyzelinas,Mechaninė,"2.0 l.,",284588,Vilnius
Skoda Octavia,['2009-04'],Hečbekas,2900,Dyzelinas,Mechaninė,"1.9 l.,         77  kW",295515,Vilnius
Skoda Octavia,['2009-07'],Hečbekas,3500,Benzinas,Automatinė,"1.8 l.,         118  kW",223000,Telšiai
Skoda Octavia,['2010-06'],Universalas,3900,Dyzelinas,Mechaninė,"2.0 l.,",295453,Vilnius
Skoda Octavia,['2017-05'],Hečbekas,8600,Dyzelinas,Mechaninė,"1.6 l.,         85  kW",108400,Vilnius
Skoda Octavia,['2016-06'],Universalas,10900,Benzinas,Mechaninė,"1.8 l.,         132  kW",103000,Vilnius
Skoda Octavia,['2019-01'],Universalas,13800,Dyzelinas,Automatinė,"2.0 l.,         110  kW",151200,Vilnius
Skoda Octavia,['2018-11'],Universalas,15900,Dyzelinas,Automatinė,"2.0 l.,         110  kW",147344,Vilnius
Skoda Octavia,['2021-04'],Sedanas,19200,Benzinas,Automatinė,"1.5 l.,         110  kW",113470,Vilnius
Skoda Octavia,['2008-03'],Sedanas,2550,Dyzelinas,Mechaninė,"1.9 l.,         85  kW",347000,Vilnius
Skoda Octavia,['2009-04'],Hečbekas,2750,Dyzelinas,Mechaninė,"1.9 l.,         77  kW",297647,Vilnius
Skoda Octavia,['2011'],Universalas,3300,Benzinas,Mechaninė,"1.4 l.,         90  kW",203000,Vilnius
Skoda Octavia,['2019-09'],Universalas,8990,Benzinas,Mechaninė,"1.0 l.,         85  kW",210250,Vilnius
Skoda Octavia,['2018'],Sedanas,11000,Dyzelinas,Automatinė,"2.0 l.,         110  kW",209016,Vilnius
Skoda Octavia,['2019-08'],Sedanas,11950,Dyzelinas,Automatinė,"2.0 l.,         110  kW",210000,Vilnius
Skoda Octavia,['2004-07'],Universalas,850,Dyzelinas,Mechaninė,"1.9 l.,         66  kW",284646,Vilnius
Skoda Octavia,['2010-07'],Hečbekas,900,Dyzelinas,Mechaninė,"1.9 l.,         77  kW",354000,Vilnius
Skoda Octavia,['2004-02'],Universalas,1599,Benzinas,Mechaninė,"2.0 l.,         85  kW",260000,Jurbarkas
Skoda Octavia,['2005'],Sedanas,1700,Dyzelinas,Mechaninė,"1.9 l.,         77  kW",295221,Vilnius
Skoda Octavia,['2005'],Universalas,1750,Dyzelinas,Mechaninė,"1.9 l.,         77  kW",358550,Vilnius
Skoda Octavia,['2009-09'],Universalas,1850,Dyzelinas,Mechaninė,"1.6 l.,         77  kW",226000,Biržai
Skoda Octavia,['2008'],Hečbekas,2000,Dyzelinas,Automatinė,"2.0 l.,         103  kW",501000,Vilnius
Skoda Octavia,['2004-03'],Hečbekas,2199,Dyzelinas,Automatinė,"1.9 l.,         66  kW",282117,Kėdainiai
Skoda Octavia,['2006'],Universalas,2400,Dyzelinas,Automatinė,"1.9 l.,         77  kW",292000,Vilnius
Skoda Octavia,['2009-08'],Universalas,2500,Dyzelinas,Mechaninė,"1.9 l.,         77  kW",350000,Kaunas
Skoda Octavia,['2007-07'],Universalas,2500,Benzinas,Automatinė,"1.6 l.,         75  kW",275165,Marijampolė
Skoda Octavia,['2009-09'],Universalas,2800,Dyzelinas,Automatinė,"1.6 l.,         77  kW",345000,Vilnius
Skoda Octavia,['2011-10'],Hečbekas,2900,Dyzelinas,Mechaninė,"1.6 l.,         77  kW",460000,Klaipėda
Skoda Octavia,['2009-05'],Universalas,2999,Benzinas / dujos,Mechaninė,"1.6 l.,         75  kW",220000,Marijampolė
Skoda Octavia,['2008-09'],Hečbekas,3450,Dyzelinas,Automatinė,"1.9 l.,         77  kW",268000,Vilnius
Skoda Octavia,['2011-09'],Universalas,3500,Benzinas,Mechaninė,"1.4 l.,         90  kW",270000,Marijampolė
Skoda Octavia,['2014-05'],Universalas,3650,Dyzelinas,Mechaninė,"1.6 l.,         77  kW",593000,Kaunas
Skoda Octavia,['2011-08'],Hečbekas,3700,Dyzelinas,Automatinė,"1.6 l.,         77  kW",271380,Vilnius
Skoda Octavia,['2009-05'],Universalas,3800,Benzinas,Automatinė,"1.8 l.,         118  kW",238000,Kaunas
Skoda Octavia,['2008-07'],Hečbekas,3900,Dyzelinas,Mechaninė,"2.0 l.,         125  kW",286390,Tauragė
Skoda Octavia,['2011-01'],Universalas,3950,Benzinas,Mechaninė,"1.4 l.,         90  kW",163000,Vilnius
Skoda Octavia,['2011-08'],Universalas,4000,Dyzelinas,Mechaninė,"1.6 l.,         77  kW",231000,Utena
Skoda Octavia,['2020-04'],Universalas,4400,Dyzelinas,Mechaninė,"1.6 l.,         85  kW",100000,Šiauliai
Skoda Octavia,['2013-06'],Universalas,4550,Dyzelinas,Mechaninė,"1.6 l.,         77  kW",212000,Ukmergė
Skoda Octavia,['2011-10'],Universalas,4600,Dyzelinas,Mechaninė,"2.0 l.,         103  kW",282000,Klaipėda
Skoda Octavia,['2010-10'],Universalas,4650,Dyzelinas,Mechaninė,"2.0 l.,         103  kW",271179,Mažeikiai
Skoda Octavia,['2013-10'],Universalas,5000,Dyzelinas,Mechaninė,"1.6 l.,         77  kW",273750,Vilnius
Skoda Octavia,['2012-10'],Universalas,5000,Dyzelinas,Mechaninė,"2.0 l.,         81  kW",223000,Klaipėda
Skoda Octavia,['2011-05'],Universalas,5150,Benzinas,Mechaninė,"1.8 l.,         118  kW",203733,Vilnius
Skoda Octavia,['2012-12'],Kita,5200,Dyzelinas,Automatinė,"1.6 l.,         77  kW",200000,Vilnius
