Title,Year,Type,Price,Engine type,Gearbox_type,Milage,City,Engine,Power
Toyota Corolla,2008,Sedanas,3900,Benzinas,Automatinė,265554,Vilnius,1600,91
Toyota Corolla,2019,Universalas,13400,Benzinas,Automatinė,135000,Vilnius,1200,85
Toyota Corolla,2019,Sedanas,18450,Benzinas / elektra,Automatinė,107897,Vilnius,1800,72
Toyota Corolla,2002,Hečbekas,1400,Benzinas,Mechaninė,254041,Kaišiadorys,1400,71
Toyota Corolla,2005,Hečbekas,1500,Benzinas,Mechaninė,326515,Marijampolė,1600,81
Toyota Corolla,2004,Hečbekas,1900,Benzinas,Mechaninė,220422,Vilnius,1600,81
Toyota Corolla,2011,Sedanas,2400,Benzinas,Mechaninė,228100,Vilnius,1300,73
Toyota Corolla,2005,Hečbekas,2850,Dyzelinas,Automatinė,335451,Kretinga,1400,66
Toyota Corolla,2007,Vienatūris,4200,Dyzelinas,Mechaninė,314474,Kaunas,2200,100
Toyota Corolla,2017,Sedanas,8900,Benzinas,Mechaninė,159260,Vilnius,1300,73
Toyota Corolla,2017,Sedanas,9450,Benzinas,Mechaninė,186400,Vilnius,1300,73
Toyota Corolla,2019,Sedanas,12900,Benzinas,Mechaninė,137060,Vilnius,1600,97
Toyota Corolla,2019,Universalas,13200,Benzinas / elektra,Automatinė,169500,Vilnius,1800,90
Toyota Corolla,2019,Sedanas,13500,Benzinas,Mechaninė,131048,Vilnius,1600,97
Toyota Corolla,2019,Hečbekas,13900,Benzinas,Automatinė,109800,Vilnius,1200,85
Toyota Corolla,2019,Sedanas,13900,Benzinas,Mechaninė,115237,Vilnius,1600,97
Toyota Corolla,2019,Universalas,13900,Benzinas,Mechaninė,125432,Vilnius,1200,85
Toyota Corolla,2017,Sedanas,13900,Benzinas,Automatinė,150000,Kaunas,1600,97
Toyota Corolla,2021,Hečbekas,14200,Benzinas / elektra,Automatinė,149000,Kaunas,1800,90
Toyota Corolla,2019,Hečbekas,14500,Benzinas / elektra,Automatinė,191900,Vilnius,1800,90
Toyota Corolla,2020,Sedanas,14900,Benzinas,Mechaninė,87832,Vilnius,1600,97
Toyota Corolla,2019,Kita,14900,Benzinas,Mechaninė,138160,Vilnius,1200,85
Toyota Corolla,2019,Universalas,14900,Benzinas,Mechaninė,67700,Klaipėda,1200,85
Toyota Corolla,2019,Universalas,15500,Benzinas / elektra,Automatinė,122225,Panevėžys,1800,90
Toyota Corolla,2019,Universalas,15500,Benzinas,Automatinė,147231,Vilnius,1200,85
Toyota Corolla,2019,Hečbekas,15700,Benzinas,Mechaninė,20088,Šiauliai,1200,85
Toyota Corolla,2019,Universalas,15790,Benzinas / elektra,Automatinė,198300,Panevėžys,2000,132
Toyota Corolla,2020,Sedanas,15899,Benzinas / elektra,Automatinė,111300,Vilnius,1800,72
Toyota Corolla,2021,Universalas,15900,Benzinas / elektra,Automatinė,220000,"Tallinn, Estija",1800,90
Toyota Corolla,2018,Sedanas,15900,Benzinas,Automatinė,50900,Vilnius,1600,97
Toyota Corolla,2019,Universalas,15999,Benzinas / elektra,Automatinė,130000,Vilnius,1800,90
Toyota Corolla,2019,Sedanas,16500,Benzinas,Automatinė,33500,Vilnius,1200,85
Toyota Corolla,2019,Sedanas,16800,Benzinas / elektra,Automatinė,102652,Vilnius,1800,72
Toyota Corolla,2019,Sedanas,16900,Benzinas,Automatinė,90884,Vilnius,1600,97
Toyota Corolla,2021,Universalas,16900,Benzinas,Automatinė,101500,Kaunas,1200,85
Toyota Corolla,2019,Universalas,17300,Benzinas,Automatinė,78700,Vilnius,1200,85
Toyota Corolla,2021,Sedanas,17650,Benzinas / elektra,Automatinė,89500,Vilnius,1800,90
Toyota Corolla,2021,Universalas,17900,Benzinas / elektra,Automatinė,67972,Šiauliai,1800,90
Toyota Corolla,2019,Sedanas,17900,Benzinas,Automatinė,64400,Vilnius,1600,97
Toyota Corolla,2019,Sedanas,17950,Benzinas / elektra,Automatinė,94940,Vilnius,1800,90
Toyota Corolla,2022,Hečbekas,18400,Benzinas,Mechaninė,24951,Vilnius,1200,85
Toyota Corolla,2020,Universalas,18500,Benzinas,Automatinė,108400,Vilnius,1200,85
Toyota Corolla,2020,Sedanas,18500,Benzinas / elektra,Automatinė,121200,Kaunas,1800,90
Toyota Corolla,2020,Universalas,18600,Benzinas / elektra,Automatinė,86000,Marijampolė,1800,72
Toyota Corolla,2022,Hečbekas,18900,Benzinas / elektra,Automatinė,27015,Šiauliai,1800,90
Toyota Corolla,2020,Universalas,18900,Benzinas / elektra,Automatinė,260000,Vilnius,2000,132
Toyota Corolla,2020,Universalas,18950,Benzinas / elektra,Automatinė,69857,Marijampolė,1800,90
Toyota Corolla,2022,Sedanas,18950,Benzinas / elektra,Automatinė,57850,Vilnius,1800,90
Toyota Corolla,2019,Sedanas,18990,Benzinas / elektra,Automatinė,53100,Vilnius,1800,90
Toyota Corolla,2019,Hečbekas,19350,Benzinas / elektra,Automatinė,45000,Vilnius,2000,114
Toyota Corolla,2020,Universalas,19800,Benzinas / elektra,Automatinė,37466,Šiauliai,1800,72
Toyota Corolla,2021,Hečbekas,19850,Benzinas / elektra,Automatinė,45120,Vilnius,1800,90
Toyota Corolla,2020,Sedanas,19900,Benzinas / elektra,Automatinė,30554,Vilnius,1800,90
Toyota Corolla,2020,Universalas,19900,Benzinas / elektra,Automatinė,64434,Šiauliai,2000,135
Toyota Corolla,2022,Hečbekas,19900,Benzinas / elektra,Automatinė,47681,Šiauliai,1800,90
Toyota Corolla,2022,Hečbekas,20000,Benzinas / elektra,Automatinė,79700,Vilnius,1800,72
Toyota Corolla,2021,Universalas,20000,Benzinas / elektra,Automatinė,86400,Vilnius,1800,72
Toyota Corolla,2019,Hečbekas,20200,Benzinas / elektra,Automatinė,53739,Šiauliai,2000,112
Toyota Corolla,2021,Hečbekas,20500,Benzinas / elektra,Automatinė,60350,Kaunas,1800,90
Toyota Corolla,2021,Hečbekas,20500,Benzinas / elektra,Automatinė,46267,Vilnius,1800,90
Toyota Corolla,2020,Universalas,20500,Benzinas / elektra,Automatinė,53388,Šiauliai,1800,90
Toyota Corolla,2020,Universalas,20800,Benzinas / elektra,Automatinė,75590,Šiauliai,1800,90
Toyota Corolla,2020,Universalas,20900,Benzinas / elektra,Automatinė,121700,Vilnius,1800,72
Toyota Corolla,2019,Sedanas,20900,Benzinas / elektra,Automatinė,107900,Vilnius,1800,72
Toyota Corolla,2019,Sedanas,20900,Benzinas / elektra,Automatinė,105900,Vilnius,1800,72
Toyota Corolla,2022,Sedanas,20900,Benzinas,Automatinė,29800,Vilnius,1500,92
Toyota Corolla,2019,Universalas,20900,Benzinas / elektra,Automatinė,95200,Kaunas,1800,90
Toyota Corolla,2022,Hečbekas,21500,Benzinas / elektra,Automatinė,37200,Vilnius,1800,72
Toyota Corolla,2022,Universalas,21500,Benzinas / elektra,Automatinė,84710,Šiauliai,1800,72
Toyota Corolla,2022,Hečbekas,21500,Benzinas / elektra,Automatinė,63800,Klaipėda,1800,72
