Title,Year,Type,Price,Engine type,Gearbox_type,Power_unit,Milage,City
Toyota Corolla,['2007-07'],Sedanas,2850,Benzinas,Automatinė,"1.6 l.,",284664,Vilnius
Toyota Corolla,['2008-05'],Sedanas,3900,Benzinas,Automatinė,"1.6 l.,         91  kW",265554,Vilnius
Toyota Corolla,['2019-10'],Universalas,13400,Benzinas,Automatinė,"1.2 l.,         85  kW",135000,Vilnius
Toyota Corolla,['2019-08'],Sedanas,18450,Benzinas / elektra,Automatinė,"1.8 l.,         72  kW",107897,Vilnius
Toyota Corolla,['2002-07'],Hečbekas,1400,Benzinas,Mechaninė,"1.4 l.,         71  kW",254041,Kaišiadorys
Toyota Corolla,['2005-09'],Hečbekas,1500,Benzinas,Mechaninė,"1.6 l.,         81  kW",326515,Marijampolė
Toyota Corolla,['2004'],Hečbekas,1900,Benzinas,Mechaninė,"1.6 l.,         81  kW",220422,Vilnius
Toyota Corolla,['2011-06'],Sedanas,2400,Benzinas,Mechaninė,"1.3 l.,         73  kW",228100,Vilnius
Toyota Corolla,['2005-11'],Hečbekas,2850,Dyzelinas,Automatinė,"1.4 l.,         66  kW",335451,Kretinga
Toyota Corolla,['2007'],Vienatūris,4200,Dyzelinas,Mechaninė,"2.2 l.,         100  kW",314474,Kaunas
Toyota Corolla,['2011-06'],Sedanas,5800,Benzinas,Automatinė,97  kW,108220,"Rīga, Latvija"
Toyota Corolla,['2017-02'],Sedanas,8900,Benzinas,Mechaninė,"1.3 l.,         73  kW",159260,Vilnius
Toyota Corolla,['2017-03'],Sedanas,9450,Benzinas,Mechaninė,"1.3 l.,         73  kW",186400,Vilnius
Toyota Corolla,['2019-04'],Sedanas,12900,Benzinas,Mechaninė,"1.6 l.,         97  kW",137060,Vilnius
Toyota Corolla,['2019-12'],Universalas,13200,Benzinas / elektra,Automatinė,"1.8 l.,         90  kW",169500,Vilnius
Toyota Corolla,['2019-06'],Sedanas,13500,Benzinas,Mechaninė,"1.6 l.,         97  kW",131048,Vilnius
Toyota Corolla,['2019-07'],Hečbekas,13900,Benzinas,Automatinė,"1.2 l.,         85  kW",109800,Vilnius
Toyota Corolla,['2019-04'],Sedanas,13900,Benzinas,Mechaninė,"1.6 l.,         97  kW",115237,Vilnius
Toyota Corolla,['2019-07'],Universalas,13900,Benzinas,Mechaninė,"1.2 l.,         85  kW",125432,Vilnius
Toyota Corolla,['2017-03'],Sedanas,13900,Benzinas,Automatinė,"1.6 l.,         97  kW",150000,Kaunas
Toyota Corolla,['2021-02'],Hečbekas,14200,Benzinas / elektra,Automatinė,"1.8 l.,         90  kW",149000,Kaunas
Toyota Corolla,['2019-09'],Hečbekas,14500,Benzinas / elektra,Automatinė,"1.8 l.,         90  kW",191900,Vilnius
Toyota Corolla,['2020-04'],Sedanas,14900,Benzinas,Mechaninė,"1.6 l.,         97  kW",87832,Vilnius
Toyota Corolla,['2019-04'],Kita,14900,Benzinas,Mechaninė,"1.2 l.,         85  kW",138160,Vilnius
Toyota Corolla,['2019-11'],Universalas,14900,Benzinas,Mechaninė,"1.2 l.,         85  kW",67700,Klaipėda
Toyota Corolla,['2019-04'],Universalas,15500,Benzinas / elektra,Automatinė,"1.8 l.,         90  kW",122225,Panevėžys
Toyota Corolla,['2019-05'],Universalas,15500,Benzinas,Automatinė,"1.2 l.,         85  kW",147231,Vilnius
Toyota Corolla,['2019-08'],Hečbekas,15700,Benzinas,Mechaninė,"1.2 l.,         85  kW",20088,Šiauliai
Toyota Corolla,['2019-11'],Universalas,15790,Benzinas / elektra,Automatinė,"2.0 l.,         132  kW",198300,Panevėžys
Toyota Corolla,['2020-08'],Sedanas,15899,Benzinas / elektra,Automatinė,"1.8 l.,         72  kW",111300,Vilnius
Toyota Corolla,['2021-03'],Universalas,15900,Benzinas / elektra,Automatinė,"1.8 l.,         90  kW",220000,"Tallinn, Estija"
Toyota Corolla,['2018-11'],Sedanas,15900,Benzinas,Automatinė,"1.6 l.,         97  kW",50900,Vilnius
Toyota Corolla,['2019-06'],Universalas,15999,Benzinas / elektra,Automatinė,"1.8 l.,         90  kW",130000,Vilnius
Toyota Corolla,['2019-09'],Sedanas,16500,Benzinas,Automatinė,"1.2 l.,         85  kW",33500,Vilnius
Toyota Corolla,['2019-08'],Sedanas,16800,Benzinas / elektra,Automatinė,"1.8 l.,         72  kW",102652,Vilnius
Toyota Corolla,['2019-09'],Sedanas,16900,Benzinas,Automatinė,"1.6 l.,         97  kW",90884,Vilnius
Toyota Corolla,['2021-03'],Universalas,16900,Benzinas,Automatinė,"1.2 l.,         85  kW",101500,Kaunas
Toyota Corolla,['2019-12'],Universalas,17300,Benzinas,Automatinė,"1.2 l.,         85  kW",78700,Vilnius
Toyota Corolla,['2021-06'],Sedanas,17650,Benzinas / elektra,Automatinė,"1.8 l.,         90  kW",89500,Vilnius
Toyota Corolla,['2021-07'],Universalas,17900,Benzinas / elektra,Automatinė,"1.8 l.,         90  kW",67972,Šiauliai
Toyota Corolla,['2019-06'],Sedanas,17900,Benzinas,Automatinė,"1.6 l.,         97  kW",64400,Vilnius
Toyota Corolla,['2019-08'],Sedanas,17950,Benzinas / elektra,Automatinė,"1.8 l.,         90  kW",94940,Vilnius
Toyota Corolla,['2022-07'],Hečbekas,18400,Benzinas,Mechaninė,"1.2 l.,         85  kW",24951,Vilnius
Toyota Corolla,['2020-10'],Universalas,18500,Benzinas,Automatinė,"1.2 l.,         85  kW",108400,Vilnius
Toyota Corolla,['2020-02'],Sedanas,18500,Benzinas / elektra,Automatinė,"1.8 l.,         90  kW",121200,Kaunas
Toyota Corolla,['2020-02'],Universalas,18600,Benzinas / elektra,Automatinė,"1.8 l.,         72  kW",86000,Marijampolė
Toyota Corolla,['2022-04'],Hečbekas,18900,Benzinas / elektra,Automatinė,"1.8 l.,         90  kW",27015,Šiauliai
Toyota Corolla,['2020-12'],Universalas,18900,Benzinas / elektra,Automatinė,"2.0 l.,         132  kW",260000,Vilnius
Toyota Corolla,['2020-12'],Universalas,18950,Benzinas / elektra,Automatinė,"1.8 l.,         90  kW",69857,Marijampolė
Toyota Corolla,['2022-06'],Sedanas,18950,Benzinas / elektra,Automatinė,"1.8 l.,         90  kW",57850,Vilnius
Toyota Corolla,['2019-12'],Sedanas,18990,Benzinas / elektra,Automatinė,"1.8 l.,         90  kW",53100,Vilnius
Toyota Corolla,['2019-12'],Hečbekas,19350,Benzinas / elektra,Automatinė,"2.0 l.,         114  kW",45000,Vilnius
Toyota Corolla,['2020-12'],Universalas,19800,Benzinas / elektra,Automatinė,"1.8 l.,         72  kW",37466,Šiauliai
Toyota Corolla,['2021-03'],Hečbekas,19850,Benzinas / elektra,Automatinė,"1.8 l.,         90  kW",45120,Vilnius
Toyota Corolla,['2020-08'],Sedanas,19900,Benzinas / elektra,Automatinė,"1.8 l.,         90  kW",30554,Vilnius
Toyota Corolla,['2020-01'],Universalas,19900,Benzinas / elektra,Automatinė,"2.0 l.,         135  kW",64434,Šiauliai
Toyota Corolla,['2022-01'],Hečbekas,19900,Benzinas / elektra,Automatinė,"1.8 l.,         90  kW",47681,Šiauliai
Toyota Corolla,['2022-01'],Hečbekas,20000,Benzinas / elektra,Automatinė,"1.8 l.,         72  kW",79700,Vilnius
Toyota Corolla,['2021-11'],Universalas,20000,Benzinas / elektra,Automatinė,"1.8 l.,         72  kW",86400,Vilnius
Toyota Corolla,['2019-04'],Hečbekas,20200,Benzinas / elektra,Automatinė,"2.0 l.,         112  kW",53739,Šiauliai
Toyota Corolla,['2021-03'],Hečbekas,20500,Benzinas / elektra,Automatinė,"1.8 l.,         90  kW",60350,Kaunas
Toyota Corolla,['2021-03'],Hečbekas,20500,Benzinas / elektra,Automatinė,"1.8 l.,         90  kW",46267,Vilnius
Toyota Corolla,['2020-11'],Universalas,20500,Benzinas / elektra,Automatinė,"1.8 l.,         90  kW",53388,Šiauliai
