Title,Year,Type,Price,Engine type,Gearbox_type,Power_unit,Milage,City
Volkswagen Golf,['2009-07'],Hečbekas,4700,Benzinas,Automatinė,"1.4 l.,         118  kW",230000,Alytus
Volkswagen Golf,['1998'],Hečbekas,1150,Dyzelinas,Mechaninė,"1.9 l.,         66  kW",364100,Vilnius
Volkswagen Golf,['2012-07'],Hečbekas,3000,Benzinas,Mechaninė,"1.4 l.,",219500,Vilnius
Volkswagen Golf,['2009-09'],Hečbekas,3750,Dyzelinas,Mechaninė,"2.0 l.,         81  kW",28877,Vilnius
Volkswagen Golf,['2011-10'],Universalas,4400,Dyzelinas,Automatinė,"2.0 l.,         103  kW",260000,Kaunas
Volkswagen Golf,['2009-01'],Hečbekas,6500,Dyzelinas,Mechaninė,"2.0 l.,         81  kW",243700,Panevėžys
Volkswagen Golf,['2013-04'],Kabrioletas,8990,Dyzelinas,Automatinė,"2.0 l.,         103  kW",122982,Raseiniai
Volkswagen Golf,['2014'],Hečbekas,13950,Benzinas,Mechaninė,"2.0 l.,         238  kW",110500,Jurbarkas
Volkswagen Golf,['2020-01'],Universalas,14450,Dyzelinas,Automatinė,"2.0 l.,         110  kW",151386,Vilnius
Volkswagen Golf,['2020-12'],Hečbekas,16990,Elektra,Automatinė,100  kW,41661,Vilnius
Volkswagen Golf,['2020-10'],Hečbekas,17990,Elektra,Automatinė,100  kW,36360,Vilnius
Volkswagen Golf,['2020-01'],Universalas,18990,Dyzelinas,Automatinė,"2.0 l.,         135  kW",122020,Vilnius
Volkswagen Golf,['2001-09'],Hečbekas,2350,Dyzelinas,Automatinė,"1.9 l.,         85  kW",256000,Vilnius
Volkswagen Golf,['2010'],Hečbekas,4000,Dyzelinas,Mechaninė,"1.6 l.,         77  kW",247800,Kaunas
Volkswagen Golf,['2010-03'],Hečbekas,5000,Dyzelinas,Automatinė,"2.0 l.,         103  kW",289321,Kaišiadorys
Volkswagen Golf,['2016-08'],Universalas,7500,Dyzelinas,Mechaninė,"1.6 l.,         81  kW",286000,Klaipėda
Volkswagen Golf,['2016-12'],Hečbekas,10999,Benzinas,Automatinė,"1.4 l.,         92  kW",126405,Vilnius
Volkswagen Golf,['2020-05'],Hečbekas,14999,Dyzelinas,Automatinė,"2.0 l.,         110  kW",189520,Vilnius
Volkswagen Golf,['2021-10'],Universalas,18500,Dyzelinas,Automatinė,"2.0 l.,         85  kW",90350,Vilnius
Volkswagen Golf,['2021-02'],Universalas,18850,Dyzelinas,Automatinė,"2.0 l.,         110  kW",142619,Vilnius
Volkswagen Golf,['2001-08'],Hečbekas,1000,Dyzelinas,Automatinė,"1.9 l.,",287664,Vilnius
Volkswagen Golf,['2000-01'],Hečbekas,1199,Benzinas,Mechaninė,"1.4 l.,         55  kW",156000,Jurbarkas
Volkswagen Golf,['1999'],Hečbekas,1300,Benzinas,Mechaninė,"1.4 l.,         55  kW",303639,Kaunas
Volkswagen Golf,['2000-09'],Hečbekas,1450,Dyzelinas,Mechaninė,"1.9 l.,         66  kW",300000,Jurbarkas
Volkswagen Golf,['2003-10'],Universalas,1499,Dyzelinas,Mechaninė,"1.9 l.,         74  kW",298000,Marijampolė
Volkswagen Golf,['2005-12'],Hečbekas,1850,Dyzelinas,Mechaninė,"1.9 l.,         77  kW",256000,Jurbarkas
Volkswagen Golf,['2007'],Universalas,1900,Dyzelinas,Automatinė,"1.9 l.,         77  kW",322000,Vilnius
Volkswagen Golf,['2005'],Hečbekas,1980,Dyzelinas,Mechaninė,"1.9 l.,         77  kW",199999,Kaunas
Volkswagen Golf,['2005-06'],Hečbekas,2050,Benzinas,Mechaninė,"1.6 l.,         85  kW",185000,Jurbarkas
Volkswagen Golf,['2008-10'],Universalas,2200,Dyzelinas,Mechaninė,"1.9 l.,         77  kW",390000,Vilnius
Volkswagen Golf,['2008'],Hečbekas,2300,Dyzelinas,Mechaninė,"1.9 l.,         66  kW",212111,Vilnius
Volkswagen Golf,['2006-09'],Hečbekas,2350,Dyzelinas,Mechaninė,"2.0 l.,         103  kW",293500,Kaunas
Volkswagen Golf,['2008-04'],Hečbekas,2450,Benzinas,Automatinė,"1.6 l.,         75  kW",264948,Vilnius
Volkswagen Golf,['2008-08'],Universalas,2499,Benzinas,Mechaninė,"1.4 l.,         90  kW",200000,Jurbarkas
Volkswagen Golf,['2008-01'],Universalas,2499,Dyzelinas,Mechaninė,"1.9 l.,         77  kW",300000,Jurbarkas
Volkswagen Golf,['2009-09'],Hečbekas,2499,Benzinas,Mechaninė,"1.4 l.,         59  kW",237000,Kaunas
Volkswagen Golf,['2005-06'],Hečbekas,2550,Dyzelinas,Mechaninė,"1.9 l.,         77  kW",350911,Kėdainiai
Volkswagen Golf,['2010-06'],Universalas,2600,Benzinas,Mechaninė,"1.4 l.,         90  kW",220024,Vilnius
Volkswagen Golf,['2009-12'],Universalas,2700,Dyzelinas,Automatinė,"2.0 l.,         103  kW",324000,Kaunas
Volkswagen Golf,['2007'],Hečbekas,2750,Dyzelinas,Mechaninė,"2.0 l.,         103  kW",354000,Kaunas
Volkswagen Golf,['2007-06'],Hečbekas,2850,Benzinas,Mechaninė,"1.6 l.,         75  kW",187000,Kaunas
Volkswagen Golf,['2001-07'],Hečbekas,2900,Dyzelinas,Automatinė,"1.9 l.,",260643,Vilnius
