Title,Year,Type,Price,Engine type,Gearbox_type,Power_unit,Milage,City
Opel Astra,2011-08,Hečbekas,4500,Benzinas,Mechaninė,"1.6 l.,         85  kW",121000,Kaišiadorys
Opel Astra,2010-01,Universalas,2150,Dyzelinas,Mechaninė,"1.9 l.,         110  kW",220000,Jurbarkas
Opel Astra,2010-12,Hečbekas,2750,Benzinas,Mechaninė,"1.6 l.,         85  kW",110000,Kaunas
Opel Astra,2011-11,Universalas,3000,Dyzelinas,Mechaninė,"1.7 l.,         92  kW",309960,Vilnius
Opel Astra,2010-09,Hečbekas,3000,Benzinas,Mechaninė,"1.4 l.,         103  kW",160000,Kaunas
Opel Astra,2010-10,Hečbekas,3200,Dyzelinas,Mechaninė,"1.7 l.,         92  kW",245000,Šiauliai
Opel Astra,2011-10,Universalas,3490,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",255000,Kaunas
Opel Astra,2013-11,Universalas,3699,Dyzelinas,Mechaninė,"1.7 l.,",240000,Šiauliai
Opel Astra,2012-05,Universalas,3750,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",276000,Kaunas
Opel Astra,2011,Universalas,3800,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",272796,Vilnius
Opel Astra,2012-10,Hečbekas,3850,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",253000,Utena
Opel Astra,2011,Universalas,3950,Dyzelinas,Mechaninė,"1.7 l.,         92  kW",255400,Utena
Opel Astra,2013-11,Universalas,3980,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",215000,Marijampolė
Opel Astra,2012-11,Hečbekas,4150,Dyzelinas,Mechaninė,"1.7 l.,",220000,Šiauliai
Opel Astra,2012-06,Universalas,4290,Dyzelinas,Mechaninė,"1.7 l.,         92  kW",240000,Utena
Opel Astra,2010-01,Hečbekas,4299,Dyzelinas,Mechaninė,"1.7 l.,         92  kW",181830,Kretinga
Opel Astra,2010-09,Hečbekas,4750,Dyzelinas,Mechaninė,"2.0 l.,         118  kW",200000,Vilnius
Opel Astra,2012-10,Kupė (Coupe),4750,Benzinas,Mechaninė,"1.4 l.,         103  kW",214000,Ukmergė
Opel Astra,2015-09,Universalas,4850,Benzinas / dujos,Mechaninė,"1.4 l.,         103  kW",210000,Kaunas
Opel Astra,2014-12,Universalas,4900,Dyzelinas,Mechaninė,"1.7 l.,",167000,Vilnius
Opel Astra,2011-03,Hečbekas,4950,Benzinas,Mechaninė,"1.6 l.,         85  kW",182337,Kaunas
Opel Astra,2017-05,Universalas,5200,Dyzelinas,Mechaninė,"1.6 l.,         81  kW",260000,Tauragė
Opel Astra,2015-08,Hečbekas,5250,Dyzelinas,Mechaninė,"1.6 l.,         81  kW",201000,Utena
Opel Astra,2011-05,Hečbekas,5300,Benzinas,Automatinė,"1.6 l.,         85  kW",207000,Utena
Opel Astra,2011-12,Universalas,5400,Benzinas,Automatinė,"1.4 l.,         103  kW",158537,Vilnius
Opel Astra,2015-03,Universalas,5500,Dyzelinas,Automatinė,"2.0 l.,         121  kW",128113,Kaunas
Opel Astra,2015-06,Universalas,5799,Dyzelinas,Mechaninė,"1.6 l.,         81  kW",191815,Kėdainiai
Opel Astra,2016-06,Universalas,5950,Dyzelinas,Mechaninė,"1.6 l.,         81  kW",181000,Kaunas
Opel Astra,2015-05,Universalas,5999,Dyzelinas,Mechaninė,"2.0 l.,         121  kW",268478,Kretinga
Opel Astra,2016-09,Sedanas,6500,Benzinas,Mechaninė,"1.4 l.,         103  kW",100102,Plungė
Opel Astra,2016-06,Universalas,6750,Dyzelinas,Mechaninė,"1.6 l.,         81  kW",246000,Kaunas
Opel Astra,2017-10,Universalas,6897,Dyzelinas,Mechaninė,"1.6 l.,         81  kW",188000,Kaunas
Opel Astra,2018-01,Universalas,6950,Dyzelinas,Mechaninė,"1.6 l.,         81  kW",232000,Kaunas
Opel Astra,2019-03,Universalas,7750,Dyzelinas,Mechaninė,"1.6 l.,         81  kW",202000,Kretinga
Opel Astra,2016-02,Hečbekas,7950,Dyzelinas,Mechaninė,"1.6 l.,         81  kW",134946,Kaunas
Opel Astra,2017-12,Hečbekas,8000,Dyzelinas,Mechaninė,"1.6 l.,         100  kW",193305,Tauragė
Opel Astra,2016,Universalas,8100,Dyzelinas,Mechaninė,"1.6 l.,         81  kW",216599,Vilnius
Opel Astra,2019-07,Universalas,8349,Benzinas,Mechaninė,"1.0 l.,         77  kW",188000,Kaunas
Opel Astra,2018-02,Universalas,8349,Dyzelinas,Mechaninė,"1.6 l.,         100  kW",197000,Kaunas
Opel Astra,2018-03,Universalas,8349,Dyzelinas,Mechaninė,"1.6 l.,         100  kW",213000,Kaunas
Opel Astra,2019-01,Universalas,8400,Benzinas,Mechaninė,"1.4 l.,         110  kW",200252,Kaunas
Opel Astra,2019-03,Hečbekas,8469,Dyzelinas,Mechaninė,"1.6 l.,         81  kW",139000,Kaunas
Opel Astra,2020-08,Universalas,8550,Dyzelinas,Mechaninė,"1.5 l.,         77  kW",214000,Kretinga
Opel Astra,2020-09,Hečbekas,8591,Dyzelinas,Mechaninė,"1.5 l.,         77  kW",189900,Vilnius
Opel Astra,2019-06,Universalas,8650,Dyzelinas,Mechaninė,"1.6 l.,         81  kW",144000,Rokiškis
Opel Astra,2019-02,Universalas,8900,Dyzelinas,Mechaninė,"1.6 l.,         100  kW",145000,Marijampolė
Opel Astra,2017,Hečbekas,8900,Dyzelinas,Mechaninė,"1.6 l.,         70  kW",188961,Kaunas
Opel Astra,2019-12,Universalas,8900,Dyzelinas,Automatinė,"1.5 l.,         90  kW",152000,Kaunas
Opel Astra,2019-10,Universalas,8954,Benzinas,Mechaninė,"1.0 l.,         77  kW",158000,Kaunas
Opel Astra,2017-06,Universalas,9000,Dyzelinas,Mechaninė,"1.6 l.,         100  kW",200500,Kaunas
Opel Astra,2020-05,Universalas,9100,Dyzelinas,Mechaninė,"1.5 l.,         90  kW",239000,Vilnius
Opel Astra,2020-10,Universalas,9317,Benzinas,Mechaninė,"1.2 l.,         81  kW",183000,Kaunas
Opel Astra,2016-08,Hečbekas,9500,Benzinas,Automatinė,"1.0 l.,         77  kW",165996,Klaipėda
Opel Astra,2020-12,Universalas,9600,Benzinas,Mechaninė,"1.2 l.,         107  kW",188600,Marijampolė
Opel Astra,2020-05,Universalas,10648,Dyzelinas,Mechaninė,"1.5 l.,         90  kW",155000,Marijampolė
Opel Astra,2020-04,Universalas,10650,Dyzelinas,Mechaninė,"1.5 l.,         90  kW",142387,Vilnius
Opel Astra,2020-12,Universalas,10709,Dyzelinas,Automatinė,"1.5 l.,         90  kW",179300,Vilnius
Opel Astra,2020-12,Universalas,10850,Dyzelinas,Automatinė,"1.5 l.,         90  kW",147000,Vilnius
Opel Astra,2017-05,Hečbekas,10900,Benzinas,Mechaninė,"1.6 l.,         147  kW",127838,Vilnius
Opel Astra,2018-05,Universalas,10900,Dyzelinas,Automatinė,"1.6 l.,         100  kW",83939,Vilnius
Opel Astra,2020-08,Hečbekas,10900,Benzinas,Mechaninė,"1.2 l.,         96  kW",55000,Telšiai
Opel Astra,2017-08,Hečbekas,11900,Benzinas,Mechaninė,"1.4 l.,         92  kW",52500,Klaipėda
Opel Astra,2017-03,Universalas,12551,Benzinas,Automatinė,"1.4 l.,         110  kW",149930,Klaipėda
Opel Astra,2020-10,Universalas,12693,Dyzelinas,Automatinė,"1.5 l.,         90  kW",111600,Vilnius
Opel Astra,2016-04,Hečbekas,23490,Benzinas,Mechaninė,"2.0 l.,         206  kW",32000,Vilnius
Opel Astra,2011-12,Universalas,1000,Dyzelinas,Mechaninė,"1.3 l.,         70  kW",250000,Tauragė
Opel Astra,2013-11,Hečbekas,1300,Dyzelinas,Mechaninė,"1.7 l.,         96  kW",208932,Kaunas
Opel Astra,2010-04,Hečbekas,2100,Dyzelinas,Mechaninė,"2.0 l.,         118  kW",136000,Vilnius
Opel Astra,2011-01,Hečbekas,2100,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",199854,Vilnius
Opel Astra,2011,Universalas,2700,Dyzelinas,Mechaninė,"1.7 l.,",220000,Tauragė
Opel Astra,2011-06,Universalas,2750,Dyzelinas,Mechaninė,"2.0 l.,         118  kW",192000,Kaunas
Opel Astra,2017,Hečbekas,2799,Benzinas,Mechaninė,"1.4 l.,         74  kW",168000,Jonava
Opel Astra,2012-03,Universalas,2950,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",236179,Ukmergė
Opel Astra,2011-05,Hečbekas,2999,Benzinas,Mechaninė,"1.6 l.,         85  kW",135000,Vilnius
Opel Astra,2011-06,Hečbekas,3000,Benzinas,Mechaninė,"1.4 l.,         103  kW",191000,Vilnius
Opel Astra,2010-07,Hečbekas,3090,Dyzelinas,Mechaninė,"2.0 l.,         118  kW",317000,Panevėžys
Opel Astra,2013-05,Universalas,3200,Benzinas,Mechaninė,"1.4 l.,         103  kW",153500,Vilnius
Opel Astra,2010-03,Hečbekas,3250,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",262500,Kaunas
Opel Astra,2012-11,Universalas,3250,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",274382,Kaunas
Opel Astra,2012-11,Universalas,3295,Benzinas / dujos,Mechaninė,"1.6 l.,         85  kW",217607,Kretinga
Opel Astra,2010-01,Hečbekas,3300,Dyzelinas,Mechaninė,"1.7 l.,         92  kW",334100,Kaunas
Opel Astra,2010-12,Hečbekas,3350,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",226000,Kaunas
Opel Astra,2011-12,Universalas,3350,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",264000,Radviliškis
Opel Astra,2011-12,Universalas,3400,Dyzelinas,Mechaninė,"1.3 l.,         70  kW",197000,Kaunas
Opel Astra,2011,Hečbekas,3400,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",207100,Vilnius
Opel Astra,2011,Universalas,3450,Benzinas,Mechaninė,"1.4 l.,         88  kW",160000,Marijampolė
Opel Astra,2011-03,Hečbekas,3450,Dyzelinas,Mechaninė,"1.3 l.,         70  kW",323000,Šiauliai
Opel Astra,2011-05,Hečbekas,3599,Dyzelinas,Mechaninė,"1.7 l.,         92  kW",207456,Kaunas
Opel Astra,2013-07,Universalas,3600,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",294432,Šiauliai
Opel Astra,2010-10,Hečbekas,3650,Benzinas,Mechaninė,"1.6 l.,         85  kW",99885,Marijampolė
Opel Astra,2011-08,Universalas,3700,Benzinas,Mechaninė,"1.4 l.,         103  kW",204000,Kaunas
Opel Astra,2011,Universalas,3700,Dyzelinas,Mechaninė,"2.0 l.,",240000,Tauragė
Opel Astra,2010-11,Hečbekas,3750,Benzinas,Mechaninė,"1.4 l.,         103  kW",150000,Kaunas
Opel Astra,2012,Hečbekas,3800,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",168565,Kaunas
Opel Astra,2011-07,Universalas,3800,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",202000,Šiauliai
