Title,Year,Type,Price,Engine type,Gearbox_type,Power_unit,Milage,City
Opel Astra,['2011-08'],Hečbekas,4500,Benzinas,Mechaninė,"1.6 l.,         85  kW",121000,Kaišiadorys
Opel Astra,['2004-10'],Hečbekas,500,Dyzelinas,Mechaninė,"1.7 l.,         74  kW",325000,Vilnius
Opel Astra,['2009-09'],Hečbekas,999,Dyzelinas,Mechaninė,"1.7 l.,         74  kW",340000,Vilnius
Opel Astra,['2005-09'],Hečbekas,1000,Benzinas,Mechaninė,"1.6 l.,         77  kW",260000,Kaunas
Opel Astra,['2003'],Sedanas,1100,Dyzelinas,Mechaninė,"1.7 l.,         55  kW",254545,Vilnius
Opel Astra,['2007-04'],Hečbekas,1249,Dyzelinas,Mechaninė,"1.9 l.,         74  kW",380000,Kaunas
Opel Astra,['2005-06'],Universalas,1300,Dyzelinas,Mechaninė,88  kW,270300,Kretinga
Opel Astra,['2001-04'],Kabrioletas,1450,Benzinas,Mechaninė,"1.8 l.,         92  kW",267000,Vilnius
Opel Astra,['2007-08'],Hečbekas,1499,Benzinas,Mechaninė,"1.6 l.,         85  kW",290000,Kaunas
Opel Astra,['2005-05'],Hečbekas,2150,Benzinas,Automatinė,"1.6 l.,         77  kW",223000,Kretinga
Opel Astra,['2010-01'],Universalas,2150,Dyzelinas,Mechaninė,"1.9 l.,         110  kW",220000,Jurbarkas
Opel Astra,['2007-08'],Universalas,2250,Dyzelinas,Mechaninė,"1.9 l.,",266000,Šiauliai
Opel Astra,['2009-07'],Universalas,2250,Dyzelinas,Mechaninė,"1.3 l.,         66  kW",291000,Ukmergė
Opel Astra,['2005-01'],Hečbekas,2250,Benzinas,Automatinė,"1.6 l.,         77  kW",217000,Klaipėda
Opel Astra,['2005-05'],Hečbekas,2350,Benzinas,Mechaninė,"1.6 l.,         85  kW",177460,Šiauliai
Opel Astra,['2007-08'],Hečbekas,2450,Dyzelinas,Mechaninė,"1.7 l.,         92  kW",238000,Kaunas
Opel Astra,['2004-09'],Hečbekas,2450,Benzinas,Automatinė,"1.8 l.,         92  kW",250000,Vilnius
Opel Astra,['2004-11'],Hečbekas,2499,Benzinas,Automatinė,"1.6 l.,         77  kW",139976,Kretinga
Opel Astra,['2010-12'],Hečbekas,2750,Benzinas,Mechaninė,"1.6 l.,         85  kW",110000,Kaunas
Opel Astra,['2006-12'],Hečbekas,2799,Dyzelinas,Mechaninė,"1.3 l.,         66  kW",190000,Kretinga
Opel Astra,['2009-09'],Hečbekas,2800,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",218585,Kėdainiai
Opel Astra,['2007-07'],Kabrioletas,2800,Benzinas,Mechaninė,"1.8 l.,         103  kW",196000,Marijampolė
Opel Astra,['2011-11'],Universalas,3000,Dyzelinas,Mechaninė,"1.7 l.,         92  kW",309960,Vilnius
Opel Astra,['2010-09'],Hečbekas,3000,Benzinas,Mechaninė,"1.4 l.,         103  kW",160000,Kaunas
Opel Astra,['2010-10'],Hečbekas,3200,Dyzelinas,Mechaninė,"1.7 l.,         92  kW",245000,Šiauliai
Opel Astra,['2010-06'],Hečbekas,3330,Benzinas,Mechaninė,"1.6 l.,         85  kW",180000,Marijampolė
Opel Astra,['2011-10'],Universalas,3490,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",255000,Kaunas
Opel Astra,['2013-11'],Universalas,3699,Dyzelinas,Mechaninė,"1.7 l.,",240000,Šiauliai
Opel Astra,['1999-05'],Kabrioletas,3700,Benzinas,Mechaninė,"1.6 l.,         55  kW",192992,Panevėžys
Opel Astra,['2012-05'],Universalas,3750,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",276000,Kaunas
Opel Astra,['2011'],Universalas,3800,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",272796,Vilnius
Opel Astra,['2012-10'],Hečbekas,3850,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",253000,Utena
Opel Astra,['2011'],Universalas,3950,Dyzelinas,Mechaninė,"1.7 l.,         92  kW",255400,Utena
Opel Astra,['2012-11'],Hečbekas,4150,Dyzelinas,Mechaninė,"1.7 l.,",220000,Šiauliai
Opel Astra,['2010-07'],Hečbekas,4200,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",229244,Ukmergė
Opel Astra,['2010-01'],Hečbekas,4299,Dyzelinas,Mechaninė,"1.7 l.,         92  kW",181830,Kretinga
Opel Astra,['2011-11'],Hečbekas,4350,Dyzelinas,Mechaninė,"1.7 l.,",278000,Šiauliai
Opel Astra,['2012-08'],Universalas,4400,Benzinas,Automatinė,"1.4 l.,         103  kW",201700,Vilnius
Opel Astra,['2010-09'],Hečbekas,4750,Dyzelinas,Mechaninė,"2.0 l.,         118  kW",200000,Vilnius
