Title,Year,Type,Price,Engine type,Gearbox_type,Power_unit,Milage,City
Opel Vectra,['2005-06'],Universalas,1250,Dyzelinas,Mechaninė,"1.9 l.,         88  kW",382985,Vilnius
Opel Astra,['2004-09'],Hečbekas,2450,Benzinas,Automatinė,"1.8 l.,         92  kW",250000,Vilnius
Opel Zafira,['2010-07'],Vienatūris,3250,Dyzelinas,Mechaninė,"1.7 l.,         92  kW",246,Panevėžys
Opel Zafira,['2014-01'],Vienatūris,6200,Dyzelinas,Mechaninė,"1.6 l.,         100  kW",218000,Klaipėda
Opel Zafira Tourer,['2013-11'],Vienatūris,7300,Benzinas,Mechaninė,"1.4 l.,         88  kW",113943,Kaunas
Opel Insignia,['2016-07'],Hečbekas,7500,Dyzelinas,Automatinė,"1.6 l.,         100  kW",274523,Vilnius
Opel Vivaro,['2014-09'],Vienatūris,9300,Dyzelinas,Mechaninė,"2.0 l.,",218652,Šiauliai
Opel Insignia,['2018-02'],Universalas,12700,Dyzelinas,Automatinė,"2.0 l.,         125  kW",240000,Vilnius
Opel Omega,['2002-10'],Universalas,350,Dyzelinas,Mechaninė,"2.2 l.,         88  kW",888888,Vilnius
Opel Astra,['2003'],Universalas,400,Dyzelinas,Mechaninė,"1.7 l.,         55  kW",268000,Vilnius
Opel Vectra,['1998-04'],Universalas,450,Benzinas,Mechaninė,"1.6 l.,",240000,Radviliškis
Opel Astra,['2004-10'],Hečbekas,500,Dyzelinas,Mechaninė,"1.7 l.,         74  kW",325000,Vilnius
Opel Meriva,['2004-08'],Vienatūris,850,Dyzelinas,Mechaninė,"1.7 l.,         74  kW",255000,Vilnius
Opel Meriva,['2005-10'],Vienatūris,950,Benzinas,Mechaninė,"1.6 l.,         74  kW",177907,Marijampolė
Opel Zafira,['2004-09'],Vienatūris,950,Dyzelinas,Automatinė,"2.0 l.,         74  kW",230000,Vilnius
Opel Astra,['2009-09'],Hečbekas,999,Dyzelinas,Mechaninė,"1.7 l.,         74  kW",340000,Vilnius
Opel Vectra,['2004-03'],Universalas,1100,Dyzelinas,Automatinė,"3.0 l.,         130  kW",390000,Šiauliai
Opel Astra,['2003'],Sedanas,1100,Dyzelinas,Mechaninė,"1.7 l.,         55  kW",254545,Vilnius
Opel Astra,['2007-04'],Hečbekas,1249,Dyzelinas,Mechaninė,"1.9 l.,         74  kW",380000,Kaunas
Opel Zafira,['2004-09'],Vienatūris,1250,Dyzelinas,Mechaninė,"2.2 l.,         92  kW",280000,Kaunas
Opel Insignia,['2009-03'],Hečbekas,1300,Dyzelinas,Automatinė,"2.0 l.,         118  kW",369389,Vilnius
Opel Astra,['2005-06'],Universalas,1300,Dyzelinas,Mechaninė,88  kW,270300,Kretinga
Opel Zafira,['2002-09'],Vienatūris,1350,Benzinas,Mechaninė,"1.8 l.,         92  kW",202000,Marijampolė
Opel Meriva,['2007-03'],Vienatūris,1350,Benzinas,Mechaninė,"1.6 l.,         77  kW",210485,Marijampolė
Opel Zafira,['2007-04'],Vienatūris,1450,Dyzelinas,Mechaninė,"1.9 l.,",286456,Vilnius
Opel Meriva,['2004-08'],Vienatūris,1450,Dyzelinas,Mechaninė,"1.7 l.,         74  kW",147000,Vilnius
Opel Astra,['2001-04'],Kabrioletas,1450,Benzinas,Mechaninė,"1.8 l.,         92  kW",267000,Vilnius
Opel Astra,['2007-08'],Hečbekas,1499,Benzinas,Mechaninė,"1.6 l.,         85  kW",290000,Kaunas
Opel Insignia,['2011-05'],Sedanas,1500,Dyzelinas,Mechaninė,"2.0 l.,",223049,Vilnius
Opel Vectra,['2006-01'],Sedanas,1500,Dyzelinas,Mechaninė,"1.9 l.,         88  kW",430000,Klaipėda
