Title,Year,Type,Price,Engine type,Gearbox_type,Milage,City,Engine,Power
Opel Zafira,2014,Vienatūris,6200,Dyzelinas,Mechaninė,218000,Klaipėda,1600,100
Opel Zafira Tourer,2013,Vienatūris,7300,Benzinas,Mechaninė,113943,Kaunas,1400,88
Opel Insignia,2016,Hečbekas,7500,Dyzelinas,Automatinė,274523,Vilnius,1600,100
Opel Insignia,2018,Universalas,12700,Dyzelinas,Automatinė,240000,Vilnius,2000,125
Opel Omega,2002,Universalas,350,Dyzelinas,Mechaninė,888888,Vilnius,2200,88
Opel Astra,2003,Universalas,400,Dyzelinas,Mechaninė,268000,Vilnius,1700,55
Opel Astra,2004,Hečbekas,500,Dyzelinas,Mechaninė,325000,Vilnius,1700,74
Opel Meriva,2004,Vienatūris,850,Dyzelinas,Mechaninė,255000,Vilnius,1700,74
Opel Meriva,2005,Vienatūris,950,Benzinas,Mechaninė,177907,Marijampolė,1600,74
Opel Zafira,2004,Vienatūris,950,Dyzelinas,Automatinė,230000,Vilnius,2000,74
Opel Astra,2009,Hečbekas,999,Dyzelinas,Mechaninė,340000,Vilnius,1700,74
Opel Vectra,2004,Universalas,1100,Dyzelinas,Automatinė,390000,Šiauliai,3000,130
Opel Astra,2003,Sedanas,1100,Dyzelinas,Mechaninė,254545,Vilnius,1700,55
Opel Astra,2007,Hečbekas,1249,Dyzelinas,Mechaninė,380000,Kaunas,1900,74
Opel Zafira,2004,Vienatūris,1250,Dyzelinas,Mechaninė,280000,Kaunas,2200,92
Opel Insignia,2009,Hečbekas,1300,Dyzelinas,Automatinė,369389,Vilnius,2000,118
Opel Zafira,2002,Vienatūris,1350,Benzinas,Mechaninė,202000,Marijampolė,1800,92
Opel Meriva,2007,Vienatūris,1350,Benzinas,Mechaninė,210485,Marijampolė,1600,77
Opel Meriva,2004,Vienatūris,1450,Dyzelinas,Mechaninė,147000,Vilnius,1700,74
Opel Astra,2001,Kabrioletas,1450,Benzinas,Mechaninė,267000,Vilnius,1800,92
Opel Astra,2007,Hečbekas,1499,Benzinas,Mechaninė,290000,Kaunas,1600,85
Opel Vectra,2006,Sedanas,1500,Dyzelinas,Mechaninė,430000,Klaipėda,1900,88
Opel Frontera,2003,Visureigis / Krosoveris,1550,Dyzelinas,Mechaninė,240000,Vilnius,2200,85
Opel Meriva,2011,Vienatūris,1600,Dyzelinas,Mechaninė,293605,Vilnius,1700,96
Opel Vectra,2008,Universalas,1650,Dyzelinas,Mechaninė,320000,Kaunas,1900,110
Opel Vectra,2005,Universalas,1900,Dyzelinas,Mechaninė,233000,Šiauliai,1900,88
Opel Zafira,2007,Vienatūris,1950,Dyzelinas,Mechaninė,293000,Kaunas,1900,88
Opel Corsa,2009,Hečbekas,1999,Dyzelinas,Mechaninė,249000,Kaunas,1300,55
Opel Astra,2010,Universalas,2050,Dyzelinas,Mechaninė,220000,Jurbarkas,1900,110
Opel Frontera,2003,Visureigis / Krosoveris,2100,Dyzelinas,Mechaninė,300000,Vilnius,2200,88
Opel Vectra,2006,Universalas,2100,Dyzelinas,Mechaninė,276714,Vilnius,1900,110
Opel Zafira,2011,Vienatūris,2100,Benzinas,Automatinė,211765,Vilnius,1800,103
Opel Vectra,2006,Universalas,2150,Benzinas,Mechaninė,224000,Ukmergė,1800,92
Opel Astra,2005,Hečbekas,2150,Benzinas,Automatinė,223000,Kretinga,1600,77
Opel Combo,2010,Vienatūris,2150,Benzinas,Mechaninė,209900,Radviliškis,1400,66
Opel Astra,2009,Universalas,2250,Dyzelinas,Mechaninė,291000,Ukmergė,1300,66
Opel Astra,2005,Hečbekas,2250,Benzinas,Automatinė,217000,Klaipėda,1600,77
Opel Vivaro,2003,Vienatūris,2250,Dyzelinas,Mechaninė,292937,Kelmė,2500,99
Opel Signum,2007,Hečbekas,2300,Dyzelinas,Automatinė,259000,Marijampolė,1900,110
Opel Astra,2005,Hečbekas,2350,Benzinas,Mechaninė,177460,Šiauliai,1600,85
Opel Signum,2004,Universalas,2400,Benzinas,Automatinė,135994,Kaunas,2200,114
