Title,Year,Type,Price,Engine type,Gearbox_type,Milage,City,Engine,Power
Volkswagen Golf,2009,Hečbekas,4700.0,Benzinas,Automatinė,230000,Alytus,1400,118
Volkswagen Golf,1998,Hečbekas,1150.0,Dyzelinas,Mechaninė,364100,Vilnius,1900,66
Volkswagen Golf,2009,Hečbekas,3750.0,Dyzelinas,Mechaninė,28877,Vilnius,2000,81
Volkswagen Golf,2011,Universalas,4400.0,Dyzelinas,Automatinė,260000,Kaunas,2000,103
Volkswagen Golf,2009,Hečbekas,6500.0,Dyzelinas,Mechaninė,243700,Panevėžys,2000,81
Volkswagen Golf,2013,Kabrioletas,8990.0,Dyzelinas,Automatinė,122982,Raseiniai,2000,103
Volkswagen Golf,2014,Hečbekas,13950.0,Benzinas,Mechaninė,110500,Jurbarkas,2000,238
Volkswagen Golf,2020,Universalas,14450.0,Dyzelinas,Automatinė,151386,Vilnius,2000,110
Volkswagen Golf,2020,Universalas,18990.0,Dyzelinas,Automatinė,122020,Vilnius,2000,135
Volkswagen Golf,2001,Hečbekas,2350.0,Dyzelinas,Automatinė,256000,Vilnius,1900,85
Volkswagen Golf,2010,Hečbekas,4000.0,Dyzelinas,Mechaninė,247800,Kaunas,1600,77
Volkswagen Golf,2010,Hečbekas,5000.0,Dyzelinas,Automatinė,289321,Kaišiadorys,2000,103
Volkswagen Golf,2016,Universalas,7500.0,Dyzelinas,Mechaninė,286000,Klaipėda,1600,81
Volkswagen Golf,2016,Hečbekas,10999.0,Benzinas,Automatinė,126405,Vilnius,1400,92
Volkswagen Golf,2020,Hečbekas,14999.0,Dyzelinas,Automatinė,189520,Vilnius,2000,110
Volkswagen Golf,2021,Universalas,18500.0,Dyzelinas,Automatinė,90350,Vilnius,2000,85
Volkswagen Golf,2021,Universalas,18850.0,Dyzelinas,Automatinė,142619,Vilnius,2000,110
Volkswagen Golf,2000,Hečbekas,1199.0,Benzinas,Mechaninė,156000,Jurbarkas,1400,55
Volkswagen Golf,1999,Hečbekas,1300.0,Benzinas,Mechaninė,303639,Kaunas,1400,55
Volkswagen Golf,2000,Hečbekas,1450.0,Dyzelinas,Mechaninė,300000,Jurbarkas,1900,66
Volkswagen Golf,2003,Universalas,1499.0,Dyzelinas,Mechaninė,298000,Marijampolė,1900,74
