iter	RMSE
0	141669120.5
1	141255476
2	140843546.3
3	140422993.1
4	140013328.6
5	139633775.3
6	139194574.5
7	138792857.6
8	138475279
9	138079421.1
10	137670833.9
11	137286320.9
12	136895974.6
13	136510092.5
14	136119023
15	135736724.9
16	135333633.4
17	134883184
18	134508588.3
19	134064778.7
20	133695672.9
21	133305827.2
22	132928577.3
23	132641983.4
24	132280751
25	131905929.5
26	131544897.8
27	131149636.8
28	130770690.5
29	130359667.3
30	129938806.1
31	129541422.6
32	129148151
33	128734657.9
34	128337423.7
35	127981471.6
36	127588945.7
37	127186790.6
38	126824263.3
39	126404152.1
40	126074569.7
41	125728246.3
42	125400153
43	125056757.9
44	124725146.4
45	124404690.9
46	124087101.2
47	123726454.1
48	123347184
49	123036961.6
50	122655458.9
51	122278063.8
52	121958801.9
53	121602251.2
54	121248047.5
55	120946155.6
56	120647469.4
57	120275483.3
58	119981570.1
59	119608858.6
60	119319032.8
61	119066886.6
62	118744873.6
63	118418475.6
64	118135725.1
65	117718008.2
66	117378046.4
67	117074365.8
68	116751707.6
69	116401183
70	116088132.6
71	115735835.6
72	115433912.4
73	115102047.2
74	114801238.9
75	114491325.3
76	114188328.2
77	113880997.1
78	113619968.7
79	113273481.8
80	112982138.2
81	112709049
82	112403064.1
83	112103445.1
84	111805041.3
85	111482401.2
86	111185368.9
87	110873468.8
88	110553346.7
89	110261542.3
90	110000015.3
91	109694411.1
92	109453509.7
93	109177248.5
94	108886727.5
95	108613404.9
96	108325230.5
97	108092680
98	107811399.9
99	107582828.4
100	107291328.4
101	107034510.5
102	106765038
103	106463240.7
104	106215003.2
105	105994790
106	105705073.6
107	105488512.8
108	105227468.4
109	104972262.1
110	104717415.8
111	104501861.7
112	104214151.4
113	103949800.8
114	103686553.7
115	103430039.8
116	103182483.2
117	102901279.3
118	102655356.4
119	102416753.4
120	102169467.7
121	101953420.5
122	101688993.4
123	101451961.2
124	101213355.4
125	101015858.8
126	100789202.4
127	100553906.3
128	100335463.5
129	100112295.6
130	99914579.86
131	99668894.65
132	99440193.42
133	99190139.88
134	98977829.25
135	98728932.4
136	98511211.97
137	98276875.37
138	98051283.95
139	97824572.26
140	97573603.76
141	97260521.67
142	97042333.95
143	96818764.98
144	96617246.86
145	96385541.77
146	96185384.04
147	95983309.75
148	95767458.09
149	95570606.59
150	95363531.68
151	95088535.62
152	94863478.78
153	94692365.24
154	94486087.38
155	94274491.15
156	94053116.91
157	93852551.86
158	93660596.21
159	93500909.01
160	93288041.61
161	93059555.89
162	92843526.31
163	92629672.71
164	92422043.96
165	92241810.3
166	92057079.58
167	91869502.45
168	91653870.96
169	91449750.85
170	91279517.19
171	91101086.02
172	90876434.89
173	90685083.43
174	90499801.04
175	90356073.92
176	90152316.54
177	89972107.17
178	89800443.63
179	89627849.05
180	89488494.02
181	89304759.93
182	89167717.63
183	88985371.54
184	88801631.31
185	88632369.95
186	88444010.72
187	88243108.71
188	88063631.84
189	87850161.59
190	87657404.06
191	87487618.6
192	87314094.39
193	87123708.08
194	86949472.63
195	86760651.12
196	86612757.35
197	86434900.43
198	86296060.95
199	86107193.04
200	85935725.19
201	85766804.74
202	85607841.19
203	85453761.65
204	85296495.51
205	85142784.51
206	84962084.61
207	84793453.94
208	84637222.32
209	84463630.16
210	84280460.57
211	84080290.81
212	83907502.82
213	83724761.86
214	83563643.13
215	83405556.23
216	83247492.36
217	83075289.95
218	82987885.29
219	82832649.24
220	82677414.85
221	82558804.08
222	82452240.7
223	82298978.72
224	82153265.54
225	82010675.27
226	81860075.14
227	81664782.26
228	81517213.09
229	81324365.67
230	81210998.84
231	81095139.99
232	80975705.43
233	80830960.02
234	80658837.91
235	80509503.99
236	80355003.33
237	80204917.27
238	80059083.22
239	79904096.22
240	79746805.43
241	79600857.49
242	79463736.88
243	79371789.71
244	79232847.82
245	79122739.92
246	78970158.48
247	78856998.14
248	78706158.25
249	78554324.53
250	78401873.2
251	78295253.14
252	78209934.99
253	78027477.06
254	77879004.83
255	77743839.59
256	77582222.41
257	77466195.23
258	77263344.79
259	77121346.51
260	76998852.02
261	76798795.47
262	76682335.34
263	76602560.71
264	76404840.59
265	76287321.68
266	76209521.01
267	76068877.01
268	75919684.74
269	75842975.05
270	75716860.1
271	75578480.85
272	75464442.67
273	75281398.28
274	75187237.02
275	75059879.02
276	74881703.64
277	74732803.38
278	74608873.65
279	74488884.85
280	74303305.76
281	74151137.46
282	74038219.28
283	73968901.2
284	73842427.81
285	73660743.24
286	73531397.85
287	73462297.49
288	73336811.77
289	73209441.9
290	73124340.71
291	72956780.02
292	72780353.5
293	72649029.69
294	72532458.27
295	72358488.5
296	72258463.61
297	72170909.94
298	72031698.96
299	71954550.71
300	71792625.36
301	71681939.08
302	71576417.48
303	71471764.03
304	71367810.98
305	71256896.75
306	71093749.64
307	70986788.34
308	70863700.15
309	70759069.49
310	70577589.26
311	70505485.54
312	70427944.67
313	70315102.16
314	70244410.01
315	70138720.52
316	70083104.49
317	69977982.02
318	69822298.51
319	69670209.84
320	69578126.61
321	69467014.59
322	69356589.88
323	69256129.12
324	69160909.11
325	69057729
326	68907788.01
327	68755695.59
328	68652337.75
329	68549713.26
330	68453942.58
331	68342542.86
332	68196613.02
333	68094717.93
334	67947538.6
335	67826931.51
336	67681587.56
337	67539904.78
338	67398982.13
339	67306959.47
340	67168612.74
341	67093486.94
342	66957277.59
343	66878660.79
344	66746493.45
345	66615032.68
346	66529026.33
347	66434986.42
348	66352150.66
349	66221359.52
350	66085688.8
351	66041701.18
352	65977063.8
353	65845527.03
354	65760859.08
355	65630649.75
356	65537308.78
357	65447300.77
358	65405247.43
359	65312856.5
360	65267891.74
361	65210925.07
362	65134134.53
363	65011640.98
364	64926003.74
365	64831658.41
366	64792287.95
367	64703692.35
368	64580042.75
369	64526960.77
370	64440213.85
371	64369124.52
372	64250914.07
373	64130005.46
374	64007599.83
375	63932300.43
376	63818166.73
377	63746201.05
378	63671069.78
379	63539941.99
380	63421131.39
381	63342887.95
382	63262452.02
383	63215950.34
384	63126773.75
385	63061649.29
386	62948142.3
387	62862951.52
388	62766109.51
389	62691374.96
390	62613177
391	62502590.36
392	62392709.75
393	62289287.57
394	62178456.25
395	62103532.07
396	61999137.37
397	61967960.31
398	61859216.63
399	61815199.07
400	61747222.97
401	61642137.07
402	61583829.35
403	61506032.29
404	61447972.87
405	61417470.68
406	61320721.19
407	61216128.63
408	61114414.46
409	61014395.05
410	60917895.45
