Title,Year,Type,Price,Engine type,Gearbox_type,Milage,City,Engine,Power
Opel Astra,2011,Hečbekas,4500.0,Benzinas,Mechaninė,121000,Kaišiadorys,1600,85
Opel Astra,2004,Hečbekas,500.0,Dyzelinas,Mechaninė,325000,Vilnius,1700,74
Opel Astra,2009,Hečbekas,999.0,Dyzelinas,Mechaninė,340000,Vilnius,1700,74
Opel Astra,2005,Hečbekas,1000.0,Benzinas,Mechaninė,260000,Kaunas,1600,77
Opel Astra,2003,Sedanas,1100.0,Dyzelinas,Mechaninė,254545,Vilnius,1700,55
Opel Astra,2007,Hečbekas,1249.0,Dyzelinas,Mechaninė,380000,Kaunas,1900,74
Opel Astra,2001,Kabrioletas,1450.0,Benzinas,Mechaninė,267000,Vilnius,1800,92
Opel Astra,2007,Hečbekas,1499.0,Benzinas,Mechaninė,290000,Kaunas,1600,85
Opel Astra,2005,Hečbekas,2150.0,Benzinas,Automatinė,223000,Kretinga,1600,77
Opel Astra,2010,Universalas,2150.0,Dyzelinas,Mechaninė,220000,Jurbarkas,1900,110
Opel Astra,2009,Universalas,2250.0,Dyzelinas,Mechaninė,291000,Ukmergė,1300,66
Opel Astra,2005,Hečbekas,2250.0,Benzinas,Automatinė,217000,Klaipėda,1600,77
Opel Astra,2005,Hečbekas,2350.0,Benzinas,Mechaninė,177460,Šiauliai,1600,85
Opel Astra,2007,Hečbekas,2450.0,Dyzelinas,Mechaninė,238000,Kaunas,1700,92
Opel Astra,2004,Hečbekas,2450.0,Benzinas,Automatinė,250000,Vilnius,1800,92
Opel Astra,2004,Hečbekas,2499.0,Benzinas,Automatinė,139976,Kretinga,1600,77
Opel Astra,2010,Hečbekas,2750.0,Benzinas,Mechaninė,110000,Kaunas,1600,85
Opel Astra,2006,Hečbekas,2799.0,Dyzelinas,Mechaninė,190000,Kretinga,1300,66
Opel Astra,2009,Hečbekas,2800.0,Dyzelinas,Mechaninė,218585,Kėdainiai,1700,81
Opel Astra,2007,Kabrioletas,2800.0,Benzinas,Mechaninė,196000,Marijampolė,1800,103
Opel Astra,2011,Universalas,3000.0,Dyzelinas,Mechaninė,309960,Vilnius,1700,92
Opel Astra,2010,Hečbekas,3000.0,Benzinas,Mechaninė,160000,Kaunas,1400,103
Opel Astra,2010,Hečbekas,3200.0,Dyzelinas,Mechaninė,245000,Šiauliai,1700,92
Opel Astra,2010,Hečbekas,3330.0,Benzinas,Mechaninė,180000,Marijampolė,1600,85
Opel Astra,2011,Universalas,3490.0,Dyzelinas,Mechaninė,255000,Kaunas,1700,81
Opel Astra,1999,Kabrioletas,3700.0,Benzinas,Mechaninė,192992,Panevėžys,1600,55
Opel Astra,2012,Universalas,3750.0,Dyzelinas,Mechaninė,276000,Kaunas,1700,81
Opel Astra,2011,Universalas,3800.0,Dyzelinas,Mechaninė,272796,Vilnius,1700,81
Opel Astra,2012,Hečbekas,3850.0,Dyzelinas,Mechaninė,253000,Utena,1700,81
Opel Astra,2011,Universalas,3950.0,Dyzelinas,Mechaninė,255400,Utena,1700,92
Opel Astra,2010,Hečbekas,4200.0,Dyzelinas,Mechaninė,229244,Ukmergė,1700,81
Opel Astra,2010,Hečbekas,4299.0,Dyzelinas,Mechaninė,181830,Kretinga,1700,92
Opel Astra,2012,Universalas,4400.0,Benzinas,Automatinė,201700,Vilnius,1400,103
Opel Astra,2010,Hečbekas,4750.0,Dyzelinas,Mechaninė,200000,Vilnius,2000,118
Opel Astra,2012,Kupė (Coupe),4750.0,Benzinas,Mechaninė,214000,Ukmergė,1400,103
